episode,reward,length,loss
0,900.0,1006,0.003216796080863108
1,500.0,874,0.0012850959081945593
2,400.0,981,0.0013537765792680184
3,200.0,706,0.001371940648802899
4,400.0,846,0.0012729210696437992
5,500.0,1086,0.0013015163427925326
6,200.0,1058,0.0014912437441873686
7,1100.0,1078,0.0014212558884054841
8,100.0,998,0.001892133071555645
9,400.0,901,0.0016216638956337052
10,500.0,1173,0.0019756700801120226
11,800.0,856,0.002021918604356453
12,500.0,1002,0.0017854292663706545
13,200.0,930,0.0018324441983979772
14,300.0,1026,0.0019490386125910527
15,600.0,1267,0.001861330803559344
16,900.0,997,0.0019577037287385477
17,300.0,963,0.0020794947847442534
18,100.0,1082,0.0017564594590298997
19,1100.0,1092,0.0016540926500812477
20,1100.0,1006,0.0019756840294402668
21,200.0,1042,0.002095395150821099
22,600.0,1011,0.0018161190013475136
23,1000.0,1296,0.0017178262002777989
24,700.0,862,0.001702702613687899
25,400.0,1074,0.0018979358833069216
26,200.0,878,0.0016818059483737417
27,1100.0,1048,0.0022598290618221126
28,1000.0,991,0.002312966075313055
29,700.0,1050,0.002465209245315886
30,0.0,1090,0.00247137963909596
31,300.0,933,0.0021468598075163135
32,600.0,938,0.0020727661757187336
33,800.0,1102,0.002380873502716811
34,400.0,1000,0.0022073440423991996
35,900.0,1108,0.0022439567192746764
36,1200.0,1174,0.002276542972092274
37,800.0,1101,0.0023433339625992876
38,300.0,980,0.002227199260841542
39,1300.0,1008,0.0022430304559545927
40,500.0,1026,0.0023025067729174685
41,1000.0,1004,0.0023655127935991362
42,700.0,1118,0.0021722091121656557
43,500.0,870,0.002394843632462381
44,300.0,976,0.0025901240721291512
45,900.0,970,0.002647781045327309
46,1400.0,974,0.0026983846954222544
47,400.0,880,0.0025812634852627526
48,200.0,628,0.0022911041122112294
49,400.0,758,0.002612709246301227
