episode,reward,length,epsilon
0,100.0,1036,1.0
1,500.0,981,0.995
2,500.0,990,0.990025
3,200.0,1071,0.985074875
4,100.0,656,0.9801495006250001
5,600.0,980,0.9752487531218751
6,100.0,986,0.9703725093562657
7,1600.0,1179,0.9655206468094844
8,500.0,986,0.960693043575437
9,1300.0,876,0.9558895783575597
10,300.0,860,0.9511101304657719
11,800.0,1114,0.946354579813443
12,700.0,1006,0.9416228069143757
13,400.0,679,0.9369146928798039
14,400.0,990,0.9322301194154049
15,400.0,929,0.9275689688183278
16,400.0,929,0.9229311239742362
17,800.0,1098,0.918316468354365
18,600.0,826,0.9137248860125932
19,400.0,856,0.9091562615825302
20,700.0,900,0.9046104802746175
21,700.0,956,0.9000874278732445
22,1100.0,1066,0.8955869907338783
23,600.0,1319,0.8911090557802088
24,400.0,954,0.8866535105013078
25,400.0,754,0.8822202429488013
26,1200.0,1170,0.8778091417340573
27,500.0,940,0.8734200960253871
28,900.0,1038,0.8690529955452602
29,300.0,922,0.8647077305675338
30,400.0,854,0.8603841919146962
31,0.0,896,0.8560822709551227
32,400.0,850,0.851801859600347
33,800.0,959,0.8475428503023453
34,400.0,770,0.8433051360508336
35,400.0,894,0.8390886103705794
36,500.0,1031,0.8348931673187264
37,700.0,900,0.8307187014821328
38,800.0,1122,0.8265651079747222
39,900.0,992,0.8224322824348486
40,500.0,1054,0.8183201210226743
41,600.0,1229,0.8142285204175609
42,0.0,842,0.810157377815473
43,800.0,1116,0.8061065909263957
44,500.0,940,0.8020760579717637
45,1000.0,958,0.798065677681905
46,500.0,1092,0.7940753492934954
47,300.0,858,0.7901049725470279
48,500.0,1042,0.7861544476842928
49,900.0,936,0.7822236754458713
50,1000.0,1282,0.778312557068642
51,1100.0,1305,0.7744209942832988
52,200.0,910,0.7705488893118823
53,600.0,1150,0.7666961448653229
54,600.0,988,0.7628626641409962
55,500.0,934,0.7590483508202912
56,1100.0,1210,0.7552531090661897
57,1200.0,1030,0.7514768435208588
58,600.0,974,0.7477194593032545
59,800.0,1106,0.7439808620067382
60,200.0,1245,0.7402609576967045
61,1700.0,1242,0.736559652908221
62,200.0,825,0.7328768546436799
63,1200.0,1113,0.7292124703704616
64,700.0,826,0.7255664080186093
65,1000.0,1150,0.7219385759785162
66,1300.0,1198,0.7183288830986236
67,800.0,852,0.7147372386831305
68,1100.0,1026,0.7111635524897149
69,1000.0,1162,0.7076077347272662
70,600.0,718,0.7040696960536299
71,500.0,1078,0.7005493475733617
72,1400.0,1025,0.697046600835495
73,0.0,833,0.6935613678313175
74,2100.0,1374,0.6900935609921609
75,500.0,818,0.6866430931872001
76,900.0,982,0.6832098777212641
77,1000.0,1194,0.6797938283326578
78,1300.0,1012,0.6763948591909945
79,1300.0,986,0.6730128848950395
80,300.0,792,0.6696478204705644
81,1900.0,1156,0.6662995813682115
82,1100.0,810,0.6629680834613705
83,1900.0,1370,0.6596532430440636
84,2400.0,1340,0.6563549768288433
85,900.0,1204,0.653073201944699
86,400.0,1063,0.6498078359349755
87,600.0,898,0.6465587967553006
88,1100.0,790,0.6433260027715241
89,1300.0,1072,0.6401093727576664
90,400.0,886,0.6369088258938781
91,1000.0,1034,0.6337242817644086
92,800.0,1071,0.6305556603555866
93,100.0,1066,0.6274028820538087
94,300.0,952,0.6242658676435396
95,700.0,932,0.6211445383053219
96,1000.0,1114,0.6180388156137953
97,400.0,922,0.6149486215357263
98,1200.0,1326,0.6118738784280476
99,900.0,1012,0.6088145090359074
100,1800.0,1101,0.6057704364907278
101,1100.0,1094,0.6027415843082742
102,200.0,962,0.5997278763867329
103,1300.0,952,0.5967292370047992
104,1000.0,974,0.5937455908197752
105,600.0,1259,0.5907768628656763
106,1600.0,1092,0.5878229785513479
107,1500.0,906,0.5848838636585911
108,1000.0,974,0.5819594443402982
109,100.0,984,0.5790496471185967
110,400.0,1046,0.5761543988830038
111,1600.0,1084,0.5732736268885887
112,2100.0,1221,0.5704072587541458
113,1000.0,928,0.567555222460375
114,800.0,928,0.5647174463480732
115,800.0,766,0.5618938591163328
116,1800.0,1239,0.5590843898207511
117,3300.0,1473,0.5562889678716474
118,2200.0,976,0.5535075230322891
119,900.0,922,0.5507399854171277
120,1300.0,1250,0.547986285490042
121,1300.0,1442,0.5452463540625918
122,800.0,1144,0.5425201222922789
123,1100.0,1038,0.5398075216808175
124,1300.0,1214,0.5371084840724134
125,800.0,1056,0.5344229416520513
126,1300.0,1102,0.531750826943791
127,1200.0,1048,0.5290920728090721
128,1000.0,981,0.5264466124450268
129,1300.0,1166,0.5238143793828016
130,1600.0,1321,0.5211953074858876
131,1200.0,1052,0.5185893309484582
132,2400.0,1206,0.5159963842937159
133,400.0,792,0.5134164023722473
134,1100.0,999,0.510849320360386
135,500.0,905,0.5082950737585841
136,500.0,941,0.5057535983897912
137,1500.0,914,0.5032248303978422
138,1000.0,1034,0.500708706245853
139,1500.0,1044,0.4982051627146237
140,600.0,957,0.49571413690105054
141,2500.0,1454,0.4932355662165453
142,500.0,1160,0.4907693883854626
143,200.0,720,0.4883155414435353
144,1100.0,1120,0.4858739637363176
145,800.0,853,0.483444593917636
146,400.0,962,0.4810273709480478
147,700.0,1158,0.47862223409330756
148,1700.0,1023,0.47622912292284103
149,200.0,847,0.4738479773082268
150,300.0,962,0.47147873742168567
151,600.0,1148,0.46912134373457726
152,1300.0,1162,0.46677573701590436
153,1200.0,1085,0.46444185833082485
154,1800.0,1230,0.46211964903917074
155,900.0,764,0.4598090507939749
156,1200.0,975,0.457510005540005
157,1000.0,1049,0.45522245551230495
158,1100.0,1178,0.4529463432347434
159,1700.0,1134,0.4506816115185697
160,1000.0,1214,0.4484282034609769
161,800.0,980,0.446186062443672
162,700.0,1112,0.4439551321314536
163,1000.0,1010,0.4417353564707963
164,1300.0,1020,0.43952667968844233
165,2000.0,1125,0.43732904629000013
166,1100.0,1262,0.4351424010585501
167,2000.0,1202,0.43296668905325736
168,1600.0,1042,0.43080185560799106
169,1800.0,1202,0.4286478463299511
170,1500.0,930,0.42650460709830135
171,0.0,941,0.42437208406280985
172,700.0,862,0.4222502236424958
173,1200.0,1094,0.42013897252428334
174,1300.0,939,0.4180382776616619
175,1700.0,1021,0.4159480862733536
176,1200.0,1048,0.41386834584198684
177,1000.0,930,0.4117990041127769
178,2000.0,1142,0.40974000909221303
179,1400.0,994,0.40769130904675194
180,1000.0,882,0.40565285250151817
181,1400.0,1022,0.4036245882390106
182,1000.0,786,0.4016064652978155
183,600.0,1082,0.3995984329713264
184,1000.0,896,0.3976004408064698
185,1200.0,872,0.39561243860243744
186,2300.0,1278,0.3936343764094253
187,1400.0,977,0.39166620452737816
188,1300.0,1038,0.3897078735047413
189,1500.0,1082,0.3877593341372176
190,1400.0,976,0.3858205374665315
191,1700.0,1196,0.38389143477919885
192,2400.0,1320,0.3819719776053028
193,2000.0,1181,0.3800621177172763
194,4600.0,1790,0.37816180712868996
195,800.0,942,0.37627099809304654
196,1500.0,1022,0.3743896431025813
197,1200.0,1106,0.37251769488706843
198,2400.0,1002,0.3706551064126331
199,1000.0,918,0.36880183088056995
200,1600.0,926,0.3669578217261671
201,1400.0,1073,0.36512303261753626
202,600.0,1014,0.3632974174544486
203,1700.0,1101,0.3614809303671764
204,3000.0,1320,0.3596735257153405
205,800.0,890,0.3578751580867638
206,1100.0,1096,0.35608578229633
207,600.0,848,0.3543053533848483
208,2200.0,1626,0.35253382661792404
209,1700.0,1093,0.3507711574848344
210,2200.0,1436,0.34901730169741024
211,3600.0,1553,0.3472722151889232
212,2300.0,1190,0.3455358541129786
213,2100.0,1027,0.3438081748424137
214,1700.0,1202,0.3420891339682016
215,900.0,926,0.3403786882983606
216,1800.0,1394,0.3386767948568688
217,1400.0,942,0.33698341088258443
218,2000.0,1361,0.3352984938281715
219,3700.0,1231,0.33362200135903064
220,1800.0,1224,0.33195389135223546
221,2200.0,1326,0.3302941218954743
222,3400.0,1478,0.32864265128599696
223,2700.0,1090,0.326999438029567
224,2500.0,1374,0.3253644408394192
225,1800.0,1139,0.3237376186352221
226,1100.0,1078,0.322118930542046
227,3100.0,1230,0.32050833588933575
228,2700.0,1078,0.31890579420988907
229,2300.0,1307,0.3173112652388396
230,2100.0,1026,0.3157247089126454
231,3200.0,1357,0.3141460853680822
232,1300.0,1038,0.3125753549412418
233,2500.0,1178,0.31101247816653554
234,300.0,849,0.30945741577570285
235,1500.0,983,0.3079101286968243
236,3600.0,1526,0.3063705780533402
237,1600.0,923,0.30483872516307353
238,800.0,1145,0.3033145315372582
239,4200.0,1408,0.3017979588795719
240,3800.0,1298,0.30028896908517405
241,2600.0,1246,0.2987875242397482
242,2100.0,1114,0.29729358661854943
243,3400.0,1390,0.29580711868545667
244,2900.0,1453,0.2943280830920294
245,2400.0,1433,0.29285644267656924
246,2800.0,1466,0.2913921604631864
247,1000.0,910,0.28993519966087045
248,2200.0,1382,0.2884855236625661
249,2200.0,1971,0.28704309604425327
250,4800.0,1454,0.285607880564032
251,7100.0,1622,0.28417984116121187
252,2800.0,1178,0.2827589419554058
253,1700.0,1016,0.28134514724562876
254,4900.0,1740,0.2799384215094006
255,1600.0,1042,0.27853872940185365
256,1200.0,1121,0.27714603575484437
257,5700.0,1698,0.2757603055760701
258,2000.0,1006,0.2743815040481898
259,2400.0,1470,0.2730095965279488
260,2200.0,1158,0.27164454854530906
261,2000.0,1235,0.2702863258025825
262,5000.0,1516,0.2689348941735696
263,800.0,1142,0.26759021970270175
264,400.0,1080,0.2662522686041882
265,3900.0,1516,0.2649210072611673
266,4100.0,1198,0.26359640222486147
267,5200.0,1585,0.26227842021373715
268,4500.0,1794,0.2609670281126685
269,5600.0,1676,0.25966219297210513
270,5800.0,2094,0.2583638820072446
271,3300.0,1366,0.2570720625972084
272,1800.0,1401,0.25578670228422234
273,1500.0,1142,0.25450776877280124
