episode,reward,length
0,-227.01793,79
1,-183.455581,72
2,-31.116911,89
3,-172.176465,81
4,-308.969386,106
5,3.266981,105
6,-146.92663,77
7,-168.62604,65
8,-144.644777,98
9,-390.38273,88
10,-150.308882,71
11,-252.271855,101
12,-214.59055,130
13,-175.101374,98
14,-109.4158,77
15,-214.932428,79
16,-52.045597,116
17,-548.724368,109
18,-241.123078,119
19,-334.084614,84
20,-68.153238,66
21,-272.07689,151
22,-73.264934,85
23,-131.86517,62
24,-101.588618,124
25,-99.354813,87
26,-312.688883,113
27,-30.697999,131
28,-100.082448,76
29,-115.901618,68
30,-169.09363,85
31,-199.874586,114
32,-86.763488,73
33,-100.730617,89
34,-84.348831,94
35,-39.613279,80
36,-89.442911,116
37,-103.758327,101
38,-145.688845,82
39,-176.125761,95
40,-412.444082,156
41,-105.682609,108
42,-109.166827,84
43,-118.645001,140
44,-85.408801,98
45,-268.471591,166
46,-148.98945,80
47,-60.502004,113
48,-93.346496,163
49,-116.528086,133
50,-80.908073,160
51,-114.15723,148
52,-136.675739,112
53,-71.484332,78
54,-120.514421,139
55,-119.283518,134
56,-93.58934,143
57,-131.752213,163
58,-165.128159,127
59,-61.542617,198
60,-101.72364,140
61,-97.28625,91
62,-59.466357,104
63,-35.711679,143
64,-58.639948,140
65,-131.562879,90
66,-39.986612,221
67,-48.407755,173
68,-60.078023,157
69,-66.316581,138
70,-31.024335,121
71,-26.358139,218
72,-92.151855,192
73,-52.03893,123
74,-63.133059,699
75,-207.382322,187
76,-91.30515,1000
77,-57.326272,1000
78,-59.790372,1000
79,-55.523154,1000
80,-47.704576,1000
81,-102.987202,1000
82,-192.414179,1000
83,-140.041241,1000
84,-161.005404,1000
85,-89.309602,1000
86,-137.306189,1000
87,-118.377992,1000
88,-134.315959,1000
89,-99.107101,1000
90,-122.115035,1000
91,-106.903348,1000
92,-86.222599,1000
93,-78.367676,1000
94,-122.380986,1000
95,-102.867863,1000
96,-75.09922,1000
97,-119.282788,1000
98,-113.254176,1000
99,-149.416417,1000
100,-99.317292,1000
101,-91.654924,1000
102,-133.059616,1000
103,-99.563517,1000
104,-84.681342,1000
105,-95.478956,1000
106,-111.070573,1000
107,-114.155401,1000
108,-93.516457,1000
109,-74.607899,1000
110,-66.138083,1000
111,-78.766749,1000
112,-115.499449,1000
113,-132.65942,1000
114,-71.599477,1000
115,-120.547142,1000
116,-116.481301,1000
117,-142.472945,1000
118,-122.611959,1000
119,-133.974472,1000
120,-77.646415,1000
121,-79.009905,1000
122,-119.720835,1000
123,-113.483023,1000
124,-137.119797,1000
125,-159.898545,1000
126,-127.260884,1000
127,-109.976911,1000
128,-105.259305,1000
129,-144.132804,1000
130,-109.046709,1000
131,-112.183368,1000
132,-122.918843,1000
133,-72.165944,1000
134,-159.64719,1000
135,-119.991037,1000
136,-83.429805,1000
137,-148.616153,1000
138,-112.53293,1000
139,-142.920734,1000
140,-103.720261,1000
141,-102.434637,1000
142,-121.751572,1000
143,-134.860769,1000
144,-141.213046,1000
145,-115.825586,1000
