#{"t_start": 1777120214.335475, "env_id": "LunarLander-v3"}
r,l,t
-227.01793,79,0.597171
-183.455581,72,0.605296
-31.116911,89,0.615484
-172.176465,81,0.62373
-308.969386,106,0.635774
3.266981,105,0.650138
-146.92663,77,0.657905
-168.62604,65,0.664743
-144.644777,98,0.675344
-390.38273,88,0.684684
-150.308882,71,0.691951
-252.271855,101,0.734819
-214.59055,130,0.778336
-175.101374,98,0.806554
-109.4158,77,0.830706
-214.932428,79,0.853933
-52.045597,116,0.889716
-548.724368,109,0.924545
-241.123078,119,0.9629
-334.084614,84,0.988588
-68.153238,66,1.007916
-272.07689,151,1.060345
-73.264934,85,1.086424
-131.86517,62,1.104922
-101.588618,124,1.145839
-99.354813,87,1.172168
-312.688883,113,1.209338
-30.697999,131,1.25257
-100.082448,76,1.276202
-115.901618,68,1.296784
-169.09363,85,1.323724
-199.874586,114,1.361445
-86.763488,73,1.38484
-100.730617,89,1.412451
-84.348831,94,1.444032
-39.613279,80,1.469743
-89.442911,116,1.50803
-103.758327,101,1.540687
-145.688845,82,1.566725
-176.125761,95,1.596582
-412.444082,156,1.650095
-105.682609,108,1.684399
-109.166827,84,1.711585
-118.645001,140,1.758865
-85.408801,98,1.790954
-268.471591,166,1.847272
-148.98945,80,1.871485
-60.502004,113,1.909382
-93.346496,163,1.963963
-116.528086,133,2.007711
-80.908073,160,2.065142
-114.15723,148,2.116328
-136.675739,112,2.15202
-71.484332,78,2.176965
-120.514421,139,2.224363
-119.283518,134,2.270854
-93.58934,143,2.322845
-131.752213,163,2.38444
-165.128159,127,2.429814
-61.542617,198,2.510018
-101.72364,140,2.562737
-97.28625,91,2.594719
-59.466357,104,2.629688
-35.711679,143,2.684713
-58.639948,140,2.73694
-131.562879,90,2.769479
-39.986612,221,2.87532
-48.407755,173,2.945334
-60.078023,157,3.004312
-66.316581,138,3.052411
-31.024335,121,3.096107
-26.358139,218,3.193035
-92.151855,192,3.267579
-52.03893,123,3.314437
-63.133059,699,4.042598
-207.382322,187,4.130743
-91.30515,1000,5.720105
-57.326272,1000,6.93449
-59.790372,1000,8.364932
-55.523154,1000,9.551679
-47.704576,1000,10.877357
-102.987202,1000,12.730687
-192.414179,1000,14.27552
-140.041241,1000,15.231743
-161.005404,1000,17.028712
-89.309602,1000,18.349948
-137.306189,1000,19.636668
-118.377992,1000,20.751461
-134.315959,1000,21.995279
-99.107101,1000,23.206445
-122.115035,1000,24.487709
-106.903348,1000,25.923591
-86.222599,1000,27.516307
-78.367676,1000,30.009121
-122.380986,1000,31.911852
-102.867863,1000,33.423575
-75.09922,1000,35.359706
-119.282788,1000,36.549267
-113.254176,1000,38.031482
-149.416417,1000,39.18398
-99.317292,1000,40.612057
-91.654924,1000,41.786964
-133.059616,1000,43.056963
-99.563517,1000,44.949117
-84.681342,1000,46.330832
-95.478956,1000,47.954114
-111.070573,1000,49.707619
-114.155401,1000,51.307457
-93.516457,1000,52.216508
-74.607899,1000,53.776323
-66.138083,1000,54.658843
-78.766749,1000,55.988343
-115.499449,1000,56.908228
-132.65942,1000,57.932751
-71.599477,1000,58.784744
-120.547142,1000,60.522921
-116.481301,1000,62.198809
-142.472945,1000,63.912769
-122.611959,1000,65.18996
-133.974472,1000,66.393248
-77.646415,1000,67.508265
-79.009905,1000,68.707843
-119.720835,1000,70.33844
-113.483023,1000,71.592048
-137.119797,1000,73.302568
-159.898545,1000,74.738361
-127.260884,1000,75.766374
-109.976911,1000,77.758073
-105.259305,1000,78.714165
-144.132804,1000,79.871465
-109.046709,1000,81.233812
-112.183368,1000,82.320239
-122.918843,1000,83.877214
-72.165944,1000,85.05926
-159.64719,1000,86.51431
-119.991037,1000,87.571049
-83.429805,1000,88.782043
-148.616153,1000,90.047016
-112.53293,1000,91.644174
-142.920734,1000,93.28462
-103.720261,1000,95.15914
-102.434637,1000,96.554558
-121.751572,1000,98.032371
-134.860769,1000,99.353617
-141.213046,1000,100.637061
-115.825586,1000,101.829434
