episode,reward,length
0,-238.756913,138
1,-382.988583,84
2,-465.848969,137
3,-474.606186,117
4,-449.112562,85
5,-464.924645,109
6,-132.300209,144
7,-471.819555,132
8,-373.637706,115
9,-444.001133,92
10,-56.957691,76
11,-45.771247,120
12,-287.274137,215
13,-246.835311,101
14,-397.754082,113
15,-216.588957,74
16,-123.530302,173
17,-108.112437,126
18,-103.334908,131
19,-151.591994,183
20,-217.236821,91
21,-488.499349,127
22,-343.003226,87
23,-273.103415,83
24,-37.487096,128
25,-108.834798,204
26,-102.838271,78
27,-122.116329,109
28,-132.54281,76
29,-91.194004,113
30,-288.648534,103
31,-183.014647,138
32,-310.242739,146
33,-113.848891,188
34,-207.310957,129
35,-315.313512,93
36,-129.429162,180
37,-221.246672,108
38,-92.990101,97
39,-226.414724,159
40,-192.717271,95
41,-103.233255,80
42,-110.683947,100
43,-85.601198,106
44,-197.398397,121
45,-94.969848,131
46,-51.34141,69
47,-300.808952,145
48,-166.966102,137
49,-93.761829,80
50,-47.137419,94
51,-68.65526,88
52,-126.818599,124
53,-57.642288,156
54,-49.287493,259
55,-96.836259,88
56,-89.251905,111
57,-269.094128,135
58,-145.727453,122
59,-229.873693,174
60,-270.727468,92
61,-211.052847,108
62,-91.620577,125
63,-29.865871,113
64,-201.266073,112
65,-99.346376,128
66,-113.796526,126
67,-203.132812,191
68,-177.134217,171
69,25.350712,147
70,-44.763347,114
71,-243.831259,209
72,-268.724348,127
73,-96.848446,97
74,-239.524825,154
75,-23.349347,111
76,-134.078732,108
77,-186.116854,252
78,-73.685178,86
79,8.858257,95
80,-81.119793,165
81,-47.128419,153
82,-25.37279,99
83,-18.383098,150
84,-28.73138,88
85,7.675535,123
86,-100.23873,135
87,-328.43206,251
88,8.310788,180
89,-185.758174,105
90,-44.334973,140
91,-17.323713,210
92,-265.709228,414
93,-106.974042,200
94,37.696654,128
95,-12.048717,104
96,-206.835544,193
97,-223.781859,268
98,-98.146237,136
99,-299.007949,181
100,-247.983557,578
101,-146.712414,247
102,-103.141235,94
103,34.737841,211
104,-203.221647,242
105,-34.931504,219
106,-152.673834,258
107,0.352538,202
108,-71.367735,228
109,-89.992932,159
110,-18.719834,148
111,-117.711777,329
112,-144.439443,454
113,-107.885371,214
114,-52.684973,1000
115,-214.06441,377
116,12.311395,1000
117,-244.969981,362
118,-120.474017,330
119,-276.566795,792
120,-166.289408,317
121,-293.499552,516
122,-140.892295,415
123,-293.011195,398
124,-339.162828,705
125,-158.580057,686
126,-61.813636,1000
127,17.451032,1000
128,-288.732816,656
129,-179.985895,338
130,20.330597,1000
131,-411.759433,680
132,-61.411475,1000
133,-317.163093,303
134,-389.46827,719
135,18.499424,1000
136,84.536185,1000
137,16.85046,1000
138,-29.673983,1000
139,-170.254471,498
140,-38.068328,1000
141,-40.806468,1000
142,-140.464437,537
143,-179.796184,1000
144,-102.430767,1000
145,-115.443162,561
146,-220.605574,872
147,-178.193168,810
148,-157.586143,873
149,-89.792464,1000
150,-31.968613,1000
151,-107.072406,1000
152,-82.22426,1000
153,-75.451652,1000
154,-80.218574,1000
155,-107.993368,1000
156,-83.165078,1000
157,-101.957177,1000
158,-99.997846,1000
159,-116.042897,1000
160,-98.889033,1000
161,-106.865488,1000
162,-99.48488,1000
163,-120.078315,1000
164,-126.942157,1000
165,-117.791946,1000
166,-147.322127,1000
167,-84.384478,1000
168,-103.445104,1000
169,-115.081038,1000
170,-103.334853,1000
171,-160.737934,1000
172,-101.142585,1000
173,-142.086576,1000
174,-104.545213,1000
175,-90.052351,1000
176,-105.180435,1000
177,-69.593277,1000
178,-89.777867,1000
179,-119.466795,1000
180,-122.732534,1000
181,-119.487476,1000
182,-131.918188,1000
183,-101.678381,1000
184,-107.505799,1000
185,-87.343585,1000
186,-109.247641,1000
187,-77.343551,1000
