#{"t_start": 1777120170.41081, "env_id": "LunarLander-v3"}
r,l,t
-238.756913,138,0.607567
-382.988583,84,0.628241
-465.848969,137,0.666725
-474.606186,117,0.698808
-449.112562,85,0.71952
-464.924645,109,0.745931
-132.300209,144,0.786545
-471.819555,132,0.824392
-373.637706,115,0.857296
-444.001133,92,0.88199
-56.957691,76,0.901545
-45.771247,120,0.937089
-287.274137,215,1.021858
-246.835311,101,1.048643
-397.754082,113,1.078951
-216.588957,74,1.096401
-123.530302,173,1.157995
-108.112437,126,1.599964
-103.334908,131,1.634271
-151.591994,183,1.689783
-217.236821,91,1.712954
-488.499349,127,1.747758
-343.003226,87,1.768521
-273.103415,83,1.788909
-37.487096,128,1.824203
-108.834798,204,1.893316
-102.838271,78,1.911524
-122.116329,109,1.937113
-132.54281,76,1.954378
-91.194004,113,1.982233
-288.648534,103,2.008657
-183.014647,138,2.048399
-310.242739,146,2.088263
-113.848891,188,2.544352
-207.310957,129,2.580292
-315.313512,93,2.604997
-129.429162,180,2.666639
-221.246672,108,2.694023
-92.990101,97,2.71922
-226.414724,159,2.767422
-192.717271,95,2.791342
-103.233255,80,2.813813
-110.683947,100,2.839237
-85.601198,106,2.868876
-197.398397,121,2.903185
-94.969848,131,2.942545
-51.34141,69,2.959145
-300.808952,145,3.000837
-166.966102,137,3.038411
-93.761829,80,3.05839
-47.137419,94,3.081334
-68.65526,88,3.534298
-126.818599,124,3.570824
-57.642288,156,3.617315
-49.287493,259,3.729633
-96.836259,88,3.752074
-89.251905,111,3.781748
-269.094128,135,3.821177
-145.727453,122,3.855062
-229.873693,174,3.906169
-270.727468,92,3.928888
-211.052847,108,3.954911
-91.620577,125,3.986962
-29.865871,113,4.014291
-201.266073,112,4.042379
-99.346376,128,4.077774
-113.796526,126,4.109096
-203.132812,191,4.554932
-177.134217,171,4.606115
25.350712,147,4.650401
-44.763347,114,4.680854
-243.831259,209,4.751597
-268.724348,127,4.786131
-96.848446,97,4.810029
-239.524825,154,4.853737
-23.349347,111,4.881819
-134.078732,108,4.910119
-186.116854,252,5.003084
-73.685178,86,5.023471
8.858257,95,5.047332
-81.119793,165,5.098312
-47.128419,153,5.521574
-25.37279,99,5.547739
-18.383098,150,5.593788
-28.73138,88,5.616147
7.675535,123,5.649906
-100.23873,135,5.688471
-328.43206,251,5.788992
8.310788,180,5.851491
-185.758174,105,5.879557
-44.334973,140,5.920394
-17.323713,210,5.992851
-265.709228,414,6.348748
-106.974042,200,6.851895
37.696654,128,6.8911
-12.048717,104,6.919533
-206.835544,193,6.989503
-223.781859,268,7.106587
-98.146237,136,7.147156
-299.007949,181,7.207322
-247.983557,578,7.832645
-146.712414,247,7.937352
-103.141235,94,7.962605
34.737841,211,8.415402
-203.221647,242,8.506834
-34.931504,219,8.59858
-152.673834,258,8.708383
0.352538,202,8.784766
-71.367735,228,8.879509
-89.992932,159,8.927845
-18.719834,148,8.974269
-117.711777,329,9.175328
-144.439443,454,9.918006
-107.885371,214,10.008445
-52.684973,1000,11.55122
-214.06441,377,11.808306
12.311395,1000,13.252652
-244.969981,362,13.42535
-120.474017,330,13.62174
-276.566795,792,15.277076
-166.289408,317,15.429455
-293.499552,516,15.879041
-140.892295,415,16.109911
-293.011195,398,16.368484
-339.162828,705,17.550148
-158.580057,686,18.178954
-61.813636,1000,20.278465
17.451032,1000,22.265923
-288.732816,656,22.966952
-179.985895,338,23.533193
20.330597,1000,24.860369
-411.759433,680,25.415354
-61.411475,1000,27.226083
-317.163093,303,27.406457
-389.46827,719,28.363977
18.499424,1000,31.141764
84.536185,1000,32.421004
16.85046,1000,34.060388
-29.673983,1000,35.806625
-170.254471,498,36.533531
-38.068328,1000,38.097912
-40.806468,1000,39.946614
-140.464437,537,40.378079
-179.796184,1000,42.037676
-102.430767,1000,44.262725
-115.443162,561,44.95234
-220.605574,872,47.102312
-178.193168,810,48.433078
-157.586143,873,49.851119
-89.792464,1000,52.193257
-31.968613,1000,53.955068
-107.072406,1000,56.324311
-82.22426,1000,57.319833
-75.451652,1000,59.496238
-80.218574,1000,60.880138
-107.993368,1000,62.98746
-83.165078,1000,64.854104
-101.957177,1000,67.400621
-99.997846,1000,69.663684
-116.042897,1000,71.876199
-98.889033,1000,73.86607
-106.865488,1000,76.970009
-99.48488,1000,78.336355
-120.078315,1000,81.238081
-126.942157,1000,82.682871
-117.791946,1000,84.622859
-147.322127,1000,86.525265
-84.384478,1000,89.1922
-103.445104,1000,91.431344
-115.081038,1000,94.00696
-103.334853,1000,95.305903
-160.737934,1000,97.072116
-101.142585,1000,98.730413
-142.086576,1000,101.268577
-104.545213,1000,103.233036
-90.052351,1000,105.784941
-105.180435,1000,108.299224
-69.593277,1000,110.939041
-89.777867,1000,113.856753
-119.466795,1000,115.647509
-122.732534,1000,117.975135
-119.487476,1000,120.157641
-131.918188,1000,121.649975
-101.678381,1000,123.332119
-107.505799,1000,125.564662
-87.343585,1000,126.738979
-109.247641,1000,128.969923
-77.343551,1000,130.677311
