#{"t_start": 1778749215.4746869, "env_id": "CatchBrains/CatchBrains"}
r,l,t
60.502425,3671,1.63702
326.992808,11084,5.304864
87.494667,6829,7.288578
255.950174,7960,9.797824
454.681395,9930,12.91607
-43.154444,4013,14.271709
-14.014649,6662,16.241807
133.681442,5361,18.048958
-84.38064,6076,19.941456
25.987286,4088,21.209976
93.482777,7757,23.317935
193.861087,4161,24.590215
37.745196,2861,25.715041
165.394911,5484,27.162861
243.984444,8168,29.70134
-44.450086,4184,30.981983
52.010765,4797,32.717604
72.02163,4902,34.088204
-32.244192,3258,35.252327
-69.589714,1811,35.858076
17.783139,3522,36.677295
-66.841336,1570,37.253649
88.000802,5113,39.064944
-37.48445,5349,40.501767
-119.167565,3126,41.65203
314.359483,9168,44.319806
51.452647,8850,47.332618
490.794588,13275,51.276224
235.492181,5398,53.089596
461.173089,7447,55.155634
395.174184,10017,58.292271
-55.058967,3589,59.497362
315.447446,5892,61.366284
74.638632,5529,63.187447
158.788385,5085,64.575891
756.010324,10784,67.804535
357.936893,6377,69.735721
127.353283,5610,71.570112
145.297249,7739,74.043727
292.027246,8023,76.558093
-39.679961,3489,77.750154
21.575897,3722,78.593646
326.856168,7005,80.981846
64.504287,3444,82.167362
27.385798,3648,82.999455
-36.321396,1546,83.568813
344.745665,5554,85.392768
938.915938,4059,86.656033
-39.475119,2123,87.295034
8.174115,3387,88.100129
291.048576,6294,90.396177
13.06915,2350,91.066199
218.137935,4393,92.366297
48.838818,3376,93.164321
307.150578,6304,95.46011
1009.69731,5753,96.930688
94.268894,4328,98.225998
1111.159499,6418,100.565013
93.765721,3667,101.397413
182.543377,4396,103.076956
143.363783,4020,103.95365
390.507305,6420,106.267029
387.823257,7047,108.277886
1358.522097,11042,111.546028
369.188442,6957,113.921785
263.927346,5505,115.7364
899.621888,5033,117.111961
82.581099,3358,118.287018
1671.177777,13727,122.25755
8.996987,2600,123.338263
270.215352,5675,124.801482
