episode,reward,length,global_step
0,-433.424024,123,123
1,-112.010181,113,236
2,-56.072087,89,325
3,-211.830105,128,453
4,-86.007523,201,654
5,-273.094243,91,745
6,-328.904848,100,845
7,-369.930944,73,918
8,-282.106264,109,1027
9,-334.767306,76,1103
10,-171.936243,167,1270
11,-354.188076,93,1363
12,-33.493769,84,1447
13,-112.876533,98,1545
14,-410.292995,154,1699
15,-441.698161,206,1905
16,-145.221264,108,2013
17,-69.816626,83,2096
18,-393.256662,98,2194
19,-394.486798,123,2317
20,-299.831507,131,2448
21,-244.906195,125,2573
22,-357.203706,100,2673
23,-176.300818,88,2761
24,-78.888789,100,2861
25,-125.607592,88,2949
26,-135.108794,67,3016
27,-131.562657,93,3109
28,-169.013449,149,3258
29,-396.104933,88,3346
30,-399.331732,106,3452
31,-366.613429,115,3567
32,-63.184109,123,3690
33,-92.425452,127,3817
34,-84.46413,98,3915
35,-123.848665,74,3989
36,-38.225072,65,4054
37,-224.886192,94,4148
38,-119.957058,70,4218
39,-611.63457,148,4366
40,-199.453688,82,4448
41,-77.018589,154,4602
42,-378.018227,109,4711
43,-403.261287,112,4823
44,-309.370527,78,4901
45,-103.441172,108,5009
46,-101.897891,68,5077
47,-185.622425,95,5172
48,-284.726118,100,5272
49,-75.797599,73,5345
50,-260.108918,91,5436
51,-125.578204,105,5541
52,-435.535557,118,5659
53,-489.299806,112,5771
54,-160.440583,121,5892
55,-421.633295,96,5988
56,-83.549211,97,6085
57,-367.506596,93,6178
58,-58.768781,113,6291
59,-97.242565,100,6391
60,-163.585282,138,6529
61,-200.301618,103,6632
62,-148.476597,103,6735
63,-61.516626,93,6828
64,-224.736315,155,6983
65,-70.479881,77,7060
66,-155.643246,70,7130
67,-290.950208,117,7247
68,-69.589124,91,7338
69,-252.26429,105,7443
70,-298.393082,113,7556
71,-249.19991,93,7649
72,-323.217488,107,7756
73,-87.357932,111,7867
74,-403.264809,112,7979
75,-181.049489,100,8079
76,-145.785337,94,8173
77,-99.174908,79,8252
78,-101.272958,212,8464
79,-86.961074,66,8530
80,-139.892101,86,8616
81,-277.977153,84,8700
82,-156.633827,76,8776
83,-89.089268,115,8891
84,-141.967458,92,8983
85,-166.721262,144,9127
86,-15.119607,133,9260
87,-515.100289,202,9462
88,-335.783425,133,9595
89,-126.44889,172,9767
90,-106.374375,90,9857
91,-90.808749,74,9931
92,-346.172507,172,10103
93,-131.664229,124,10227
94,-192.03012,131,10358
95,-317.652595,189,10547
96,-191.596223,141,10688
97,-231.135237,124,10812
98,-102.341046,132,10944
99,-204.890023,91,11035
100,-336.584432,86,11121
101,-89.852326,155,11276
102,-72.194395,95,11371
103,-69.614022,96,11467
104,-64.167487,121,11588
105,-243.528388,95,11683
106,-28.26347,86,11769
107,-73.556209,95,11864
108,-137.758781,181,12045
109,-332.92709,134,12179
110,-250.698538,136,12315
111,-162.385466,119,12434
112,-65.14765,80,12514
113,-401.921111,143,12657
114,-122.270033,79,12736
115,-72.504239,82,12818
116,-209.590174,163,12981
117,-61.794151,93,13074
118,-155.268036,90,13164
119,-66.246762,164,13328
120,-165.484827,169,13497
121,-252.955114,116,13613
122,-92.310196,104,13717
123,-135.478776,129,13846
124,-90.960403,109,13955
125,-73.267425,114,14069
126,-247.926315,96,14165
127,-70.691979,82,14247
128,-64.855072,110,14357
129,-99.197719,96,14453
130,-117.90946,83,14536
131,-190.386801,101,14637
132,-142.90279,86,14723
133,-65.574183,90,14813
134,-81.051525,105,14918
135,-77.874437,95,15013
136,-368.746446,180,15193
137,-127.204605,100,15293
138,-244.047526,143,15436
139,-61.053706,152,15588
140,-233.923997,149,15737
141,-192.875298,111,15848
142,-12.639223,83,15931
143,-162.597211,116,16047
144,-62.29937,90,16137
145,-137.953085,142,16279
146,-271.313027,113,16392
147,-4.291248,108,16500
148,-89.948107,75,16575
149,-222.210474,162,16737
150,-72.73844,96,16833
151,-247.714754,181,17014
152,-71.065585,139,17153
153,-64.096198,71,17224
154,-71.961048,133,17357
155,-49.17326,121,17478
156,-117.988238,144,17622
157,-190.779873,191,17813
158,-175.781764,91,17904
159,-19.784443,119,18023
160,-59.756512,138,18161
161,-71.366154,229,18390
