#{"t_start": 1779958994.621779, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-433.424024,123,0.021244
-112.010181,113,0.038259
-56.072087,89,0.051617
-211.830105,128,0.070541
-86.007523,201,0.100389
-273.094243,91,0.113796
-328.904848,100,0.12857
-369.930944,73,0.139415
-282.106264,109,0.155369
-334.767306,76,0.166746
-171.936243,167,0.191426
-354.188076,93,0.206237
-33.493769,84,0.220353
-112.876533,98,0.236381
-410.292995,154,0.259758
-441.698161,206,0.290651
-145.221264,108,0.306698
-69.816626,83,0.421912
-393.256662,98,0.436922
-394.486798,123,0.455471
-299.831507,131,0.47517
-244.906195,125,0.494537
-357.203706,100,0.509441
-176.300818,88,0.522563
-78.888789,100,0.537495
-125.607592,88,0.550409
-135.108794,67,0.56059
-131.562657,93,0.574736
-169.013449,149,0.596843
-396.104933,88,0.609934
-399.331732,106,0.625794
-366.613429,115,0.642819
-63.184109,123,0.661002
-92.425452,127,0.67991
-84.46413,98,0.694474
-123.848665,74,0.705664
-38.225072,65,0.715445
-224.886192,94,0.838292
-119.957058,70,0.849033
-611.63457,148,0.870883
-199.453688,82,0.88342
-77.018589,154,0.906619
-378.018227,109,0.922895
-403.261287,112,0.939411
-309.370527,78,0.951048
-103.441172,108,0.966997
-101.897891,68,0.977328
-185.622425,95,0.991561
-284.726118,100,1.007156
-75.797599,73,1.018135
-260.108918,91,1.031609
-125.578204,105,1.047211
-435.535557,118,1.064634
-489.299806,112,1.081103
-160.440583,121,1.098853
-421.633295,96,1.112988
-83.549211,97,1.127312
-367.506596,93,1.24441
-58.768781,113,1.262155
-97.242565,100,1.278632
-163.585282,138,1.301192
-200.301618,103,1.317847
-148.476597,103,1.334627
-61.516626,93,1.349493
-224.736315,155,1.373413
-70.479881,77,1.385127
-155.643246,70,1.395922
-290.950208,117,1.413674
-69.589124,91,1.427277
-252.26429,105,1.442855
-298.393082,113,1.459744
-249.19991,93,1.473527
-323.217488,107,1.489291
-87.357932,111,1.50602
-403.264809,112,1.523165
-181.049489,100,1.53809
-145.785337,94,1.552124
-99.174908,79,1.667079
-101.272958,212,1.699568
-86.961074,66,1.709623
-139.892101,86,1.7228
-277.977153,84,1.735444
-156.633827,76,1.747405
-89.089268,115,1.76487
-141.967458,92,1.7789
-166.721262,144,1.800344
-15.119607,133,1.819997
-515.100289,202,1.849879
-335.783425,133,1.869714
-126.44889,172,1.895388
-106.374375,90,1.908857
-90.808749,74,1.919928
-346.172507,172,1.945034
