#{"t_start": 1780053176.0132082, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-39.192408,72,0.013163
-173.648991,77,0.024609
-429.58114,102,0.040046
-85.740528,99,0.05489
-51.102241,92,0.068965
-388.845599,121,0.086965
-276.948376,100,0.101666
-399.469799,87,0.115093
-49.728851,81,0.127297
-286.731458,90,0.14055
-307.538249,105,0.156252
-172.370818,153,0.179203
-310.14246,106,0.195942
-172.504582,138,0.216639
-428.588032,99,0.231314
-127.047256,88,0.244742
-354.188583,129,0.263653
-266.459716,130,0.283391
-305.65254,110,0.29977
-430.014302,167,0.394221
10.307918,130,0.414584
-327.457472,117,0.431831
-204.873002,179,0.458511
-172.652139,104,0.473837
-63.840325,106,0.489931
-118.113166,90,0.503398
-30.165982,106,0.519095
-21.321347,71,0.529913
-91.148097,91,0.543399
-284.379622,80,0.555168
-148.967978,99,0.570021
-320.687398,94,0.583936
-180.99396,101,0.598717
-74.460511,70,0.609201
-48.271793,116,0.626204
-41.848969,116,0.643306
-212.088674,123,0.661945
-161.758933,104,0.677398
-163.907084,123,0.766314
-195.220023,91,0.78044
-283.323709,180,0.807217
-141.727462,116,0.825214
-270.693419,97,0.839472
-461.75053,156,0.863117
-366.278546,108,0.879288
-376.802943,226,0.912808
-169.544953,145,0.934588
-475.545411,179,0.96122
-379.145815,103,0.97737
-347.780364,155,1.000957
-371.479881,118,1.018487
-108.919861,96,1.032765
-245.823046,94,1.046598
-193.532586,165,1.14139
-322.702132,110,1.158169
27.035737,80,1.170559
-107.692213,191,1.198924
-172.83019,140,1.21944
-261.531712,140,1.240369
-148.173169,113,1.257303
-50.507961,97,1.27162
-169.536236,121,1.28997
-120.504607,147,1.311537
-48.866036,98,1.326428
-74.445052,152,1.348781
-127.519404,113,1.365901
-186.606411,97,1.380264
-155.1292,137,1.400488
-462.900312,163,1.42439
-293.016055,108,1.512705
-110.692833,121,1.532452
-80.41916,87,1.545487
-85.167771,72,1.556285
-94.694055,88,1.569531
-77.671884,168,1.594524
-291.178717,104,1.610027
-88.359514,109,1.626134
-206.42314,126,1.644485
-122.626247,96,1.659084
-29.90117,90,1.672558
