#{"t_start": 1779905285.247038, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-432.275832,135,0.022326
-382.26396,102,0.037509
-515.275831,100,0.053154
-46.225193,143,0.07458
-377.381089,118,0.092026
-392.285397,111,0.110113
-348.466553,124,0.128499
-202.026408,70,0.138827
-454.196356,115,0.156009
-106.841604,71,0.166505
-462.302681,81,0.178295
-322.774008,88,0.191475
-462.307115,96,0.20541
-441.943567,103,0.220363
-417.938357,92,0.2338
-335.268558,73,0.244677
-132.650721,76,0.2558
-238.797449,96,0.269729
-100.286505,76,0.280923
-58.188931,93,0.294534
-495.278985,174,0.319973
-525.482736,93,0.333617
-348.868039,91,0.346847
-80.246723,143,0.36811
-247.224676,188,0.395752
-268.020161,96,0.409993
-105.936109,105,0.425216
-152.310272,85,0.43797
-425.175545,130,0.457104
-17.764369,78,0.468541
-300.638172,99,0.483059
-227.103266,90,0.496275
-246.873031,88,0.509091
-96.318808,163,0.532827
-440.284066,172,0.557939
-74.246618,100,0.572615
-504.943702,149,0.594222
-362.868672,111,0.814905
-156.573402,81,0.827083
-93.592925,88,0.840393
-130.008624,219,0.872496
-293.555432,135,0.892222
-396.809481,90,0.905406
-342.319093,111,0.922058
-46.456706,71,0.932652
-198.985117,129,0.951364
-231.846641,144,0.972491
-55.600116,92,0.986017
-13.536938,96,1.000399
-538.380485,141,1.020794
-238.611989,128,1.03983
-446.537404,92,1.054067
-616.75859,106,1.069986
-272.757741,104,1.085371
-274.224689,117,1.102662
-628.559126,119,1.121852
-128.195196,88,1.135102
-427.062329,150,1.157032
-539.343905,106,1.17268
-30.70831,78,1.184058
-93.129158,110,1.200378
-231.989339,103,1.215497
-373.956546,94,1.229457
-192.240752,98,1.244037
-275.860066,88,1.256892
-274.485964,118,1.274308
-532.436699,186,1.301333
-100.962353,111,1.317842
-308.222154,91,1.331154
-101.395175,98,1.345466
-260.04269,119,1.363232
-74.777998,122,1.381996
-308.300049,87,1.395395
-416.697623,117,1.413783
-13.016111,103,1.636518
-151.34872,197,1.665473
-106.748375,138,1.686045
-69.841351,95,1.699892
-299.804784,87,1.712859
-214.049982,130,1.731677
-171.032058,78,1.743224
-457.526282,163,1.766861
-92.190932,84,1.779252
-57.825918,71,1.78993
-40.412395,129,1.808817
-179.792464,133,1.828054
-208.503579,135,1.847901
-99.321216,69,1.857981
-293.162658,109,1.87445
-147.791216,112,1.890672
-281.835868,140,1.910847
-184.250005,111,1.927234
-63.814096,78,1.938742
-249.102892,89,1.951671
-258.706401,141,1.972459
-467.277385,101,1.987275
-196.848381,84,1.999704
-348.354026,97,2.013744
-41.634885,131,2.033084
-195.85205,145,2.05465
-257.443559,101,2.07029
-225.563685,100,2.085082
-76.219196,114,2.101911
-172.078595,107,2.117637
-137.532786,128,2.136326
-94.827862,99,2.150714
-296.696115,156,2.173684
-34.765215,123,2.192288
-305.519351,93,2.206084
-78.394106,109,2.221968
-52.158423,75,2.441103
-172.977859,98,2.455757
-94.028174,80,2.467533
-361.076987,87,2.480835
-65.586848,87,2.493627
-226.282793,132,2.513102
-176.195708,106,2.528781
-115.129258,184,2.555873
-50.871227,88,2.569004
-93.031583,130,2.588052
-263.069846,141,2.609038
-293.787864,180,2.635578
-285.966556,141,2.656149
-55.527614,82,2.668165
-188.519739,85,2.681147
-265.412954,135,2.700901
-79.346796,94,2.714914
-216.556363,144,2.736168
-213.03847,124,2.754213
-153.937788,133,2.773537
-272.598933,197,2.802264
-246.307911,137,2.822228
-314.745561,86,2.835144
-142.361628,115,2.851943
-268.139353,106,2.867433
-371.275937,86,2.880179
-223.516381,132,2.899455
-104.656231,77,2.910708
-87.972086,195,2.939258
-260.944409,112,2.955647
-55.431905,80,2.967386
-107.277613,64,2.97675
-102.785806,96,2.990681
-188.603365,110,3.006467
-460.910474,139,3.026365
-364.761045,135,3.255492
-139.406218,115,3.273909
-394.174752,119,3.292273
-52.100377,111,3.308896
-216.695915,139,3.32978
-137.09543,128,3.351073
-332.601967,80,3.363766
-265.817034,109,3.380057
-484.904835,119,3.398816
-128.006998,133,3.418604
-97.728807,118,3.436303
-114.827237,115,3.453226
-313.574054,98,3.467384
-212.043002,122,3.485433
-200.942836,136,3.505446
-130.490992,82,3.517787
-191.898759,114,3.534565
-111.250091,69,3.544833
-196.775432,108,3.561059
-31.685542,108,3.576994
-120.859018,106,3.592564
-259.17079,131,3.611731
-172.273658,140,3.632504
-68.785858,138,3.652767
-65.297349,147,3.67452
-154.425892,123,3.692628
-115.271156,100,3.707231
-127.304575,125,3.725717
-85.885229,111,3.741836
-103.75709,154,3.764632
-197.69774,101,3.779414
-107.240856,78,3.791274
-174.113534,102,3.806182
-203.658338,109,3.822006
-57.708613,93,3.83568
-37.098995,143,3.857106
-306.25208,157,4.08899
-74.920806,135,4.108949
-314.894426,115,4.125822
-244.961313,155,4.148434
-25.285426,106,4.164196
-88.356755,89,4.17729
-90.419184,82,4.18956
-81.445438,142,4.210287
-233.581307,128,4.229342
-165.932231,260,4.268232
-89.241457,83,4.28082
-278.735915,88,4.293783
-108.483118,90,4.306904
-269.807169,169,4.331867
-238.150528,123,4.349822
-98.769425,77,4.361274
-242.511701,164,4.384907
-200.611371,106,4.400484
-312.88934,163,4.424141
-58.146752,87,4.437136
-117.271842,130,4.456048
-87.480831,93,4.469661
-109.771866,120,4.48725
-210.95808,143,4.508136
-85.879261,77,4.519487
6.765346,185,4.546385
-58.693611,70,4.556881
-109.881744,125,4.575285
-249.194425,146,4.597013
-191.164884,108,4.613037
-490.626566,148,4.634735
-283.786286,162,4.658293
-86.586234,79,4.669838
-181.515135,124,4.894287
-278.852899,114,4.911277
-407.808342,151,4.935302
-261.338008,96,4.950528
-320.930656,158,4.975098
-106.45216,103,4.990926
-179.061729,153,5.014658
-298.341242,153,5.038927
-47.142438,108,5.056788
-82.960156,85,5.070497
-100.558334,150,5.093928
-335.613171,156,5.118204
-74.697944,150,5.141698
-259.427702,141,5.163357
-268.894502,152,5.186431
-199.086143,145,5.208834
-134.069264,132,5.228959
-94.907848,1000,5.381693
-167.992139,102,5.397271
-85.949649,81,5.409261
-133.980124,100,5.423841
-186.600517,111,5.440219
-135.000944,111,5.45655
-81.625425,88,5.4695
-98.39661,76,5.480982
-79.943003,75,5.492007
-94.059189,142,5.719748
-238.917957,166,5.745337
-93.372376,93,5.760044
-151.370066,141,5.780728
-370.687579,200,5.810557
-105.336748,102,5.82592
-184.973839,127,5.845011
-133.483268,107,5.860727
-81.432784,107,5.876833
-114.909437,103,5.891928
-87.670864,79,5.903614
-87.311523,128,5.922646
-160.304585,134,5.941952
-112.987202,70,5.952156
-191.361996,99,5.966758
-122.041413,100,5.981292
-232.054247,105,5.996881
-169.27075,101,6.011969
-107.243124,77,6.023408
-80.711593,142,6.044937
-91.077911,95,6.059722
-64.004684,67,6.070452
-133.806451,88,6.084189
-202.372437,94,6.098075
-72.892479,136,6.118712
-278.997035,167,6.143259
-135.973654,106,6.15919
-61.472554,71,6.169783
-89.875869,157,6.193043
-83.030582,74,6.204018
-298.178974,135,6.223616
-278.073055,122,6.241727
-156.801628,114,6.258216
-95.300431,107,6.274293
-102.524436,130,6.293342
-75.07339,199,6.322412
-297.208664,170,6.555128
-195.994786,109,6.571523
-276.14122,157,6.594934
-52.203947,140,6.615531
-147.273516,132,6.635229
-185.397648,140,6.655637
-99.368783,101,6.670606
-179.19661,141,6.691353
-200.045236,102,6.706275
-101.419827,95,6.720621
-151.744587,104,6.735913
-126.192437,107,6.751588
-125.579793,97,6.76593
-189.041776,126,6.784444
-45.266255,83,6.796874
-105.671916,151,6.818768
-67.035309,167,6.843096
-87.729992,113,6.859606
-50.759383,67,6.869424
-20.20309,129,6.888562
-142.466355,141,6.909101
-84.173712,114,6.92588
-172.801875,123,6.943763
-118.627261,96,6.958324
-103.876727,154,6.980708
-82.856943,86,6.993357
-201.403297,99,7.007868
-142.383684,131,7.026885
-66.13339,86,7.039701
-55.057745,66,7.049862
-252.116754,165,7.075417
-33.651572,73,7.086367
-213.816514,124,7.104531
-82.522938,149,7.126589
-221.162565,133,7.353695
-213.658196,106,7.370047
-207.561791,114,7.387158
-117.018911,109,7.40352
-105.646936,80,7.415362
20.164063,226,7.448796
-107.753598,114,7.465541
-55.998405,83,7.477853
-205.496027,96,7.49285
-148.730147,208,7.523584
-124.529999,107,7.539349
-98.797314,126,7.557799
-149.506673,127,7.576604
-204.237606,126,7.596211
-191.255738,111,7.612595
-26.583907,93,7.626368
-205.357358,178,7.652644
-159.546564,135,7.674134
-168.020378,173,7.699581
-174.586072,186,7.727129
-138.514937,115,7.744109
-81.034756,98,7.758786
-191.219581,968,7.905714
-73.081614,99,7.920618
-76.407959,134,7.939979
-77.824159,142,8.171463
-64.722255,104,8.187196
-173.101684,103,8.203203
-53.722487,147,8.22502
-228.064899,151,8.247491
-130.233388,129,8.266439
-90.688343,248,8.302887
-105.341103,147,8.324691
-65.23763,102,8.339738
-58.272265,145,8.360988
-340.047984,109,8.376896
-29.554413,110,8.39305
17.764661,116,8.41009
-230.799638,130,8.429261
-160.589386,114,8.446176
-110.63666,130,8.465035
-24.387559,122,8.483102
-110.342849,261,8.521446
-92.3226,131,8.540472
-92.974165,176,8.566155
-126.997492,120,8.583637
-220.063155,129,8.602432
-16.402026,99,8.617276
-73.842011,113,8.634029
-92.715179,78,8.645601
-197.473683,138,8.665597
-198.124056,162,8.689498
-37.689565,89,8.702584
-68.733717,93,8.716237
-48.246004,99,8.730674
-57.284101,159,8.753828
-146.331139,192,8.987318
-97.654943,92,9.001214
-27.722439,161,9.024716
-121.70503,141,9.045691
-66.473488,143,9.067918
-108.336676,176,9.09394
-125.512776,160,9.117577
-256.639565,175,9.142964
-73.219777,102,9.157983
-31.691017,104,9.173091
-167.229853,111,9.189731
-9.069619,263,9.227953
-87.208539,242,9.263267
-54.46008,172,9.288417
-73.114041,160,9.311572
-148.266414,112,9.328123
-122.964151,148,9.349422
-120.671885,110,9.365574
-243.086758,166,9.389776
-195.363636,106,9.405365
-134.627184,146,9.426435
-60.178432,191,9.454231
-74.797855,121,9.471934
-60.477958,170,9.496501
-123.939403,164,9.520709
-171.646333,178,9.546767
-69.885002,139,9.56698
-80.876198,100,9.791736
-274.484365,245,9.827878
-91.497465,185,9.855075
-45.734693,150,9.877314
-249.139107,468,9.948034
-30.948418,171,9.973296
-159.955389,133,9.993067
