episode,reward,length,global_step
0,-183.719039,125,125
1,-357.993076,96,221
2,-176.381882,88,309
3,-229.035472,132,441
4,-583.215252,208,649
5,-253.397558,106,755
6,-271.898369,149,904
7,-110.398086,124,1028
8,-46.517179,129,1157
9,-262.519971,140,1297
10,-486.312925,107,1404
11,-279.369823,133,1537
12,-438.163119,135,1672
13,-172.26942,108,1780
14,-202.711981,139,1919
15,68.092755,156,2075
16,-51.876133,218,2293
17,-145.866613,305,2598
18,-53.552844,238,2836
19,-94.753742,284,3120
20,-108.502448,658,3778
21,-226.168031,325,4103
22,-154.085251,228,4331
23,-183.712898,265,4596
24,-146.841875,345,4941
25,-93.424841,180,5121
26,-105.811377,590,5711
27,-109.960204,293,6004
28,-70.495575,564,6568
29,87.867296,829,7397
30,-107.334036,556,7953
31,216.127378,621,8574
32,-87.605894,485,9059
33,-94.077827,356,9415
34,-92.812203,430,9845
35,-13.523878,271,10116
36,-86.771917,535,10651
37,170.61386,691,11342
38,91.6953,1000,12342
39,-84.535727,1000,13342
40,-62.662681,480,13822
41,186.160596,847,14669
42,-96.213113,1000,15669
43,-18.699703,1000,16669
44,-11.50122,1000,17669
45,-52.874923,1000,18669
46,-159.517979,720,19389
47,-50.214336,1000,20389
48,-48.676291,1000,21389
49,158.243812,475,21864
50,-194.756466,463,22327
51,-117.069389,363,22690
52,158.606525,480,23170
53,-118.568325,215,23385
54,141.825518,413,23798
55,-77.603916,386,24184
56,149.664063,617,24801
57,-32.709384,1000,25801
58,174.838098,865,26666
59,175.189034,806,27472
60,5.652813,1000,28472
61,-31.434789,1000,29472
62,-55.234048,1000,30472
63,-34.638888,1000,31472
64,-26.520223,1000,32472
65,-51.377527,1000,33472
66,-65.152976,1000,34472
67,-25.534195,1000,35472
68,-11.376575,1000,36472
69,-37.192691,121,36593
70,162.683988,902,37495
71,-58.196679,1000,38495
72,-80.285097,1000,39495
73,-71.938695,1000,40495
74,-53.326391,1000,41495
75,215.61154,646,42141
76,-54.637646,1000,43141
77,-28.915123,1000,44141
78,-33.220727,1000,45141
79,224.550075,631,45772
80,-20.988634,1000,46772
81,142.519721,916,47688
82,137.117788,989,48677
83,164.325567,766,49443
84,251.089648,437,49880
