#{"t_start": 1779906374.208172, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-178.806852,120,0.061799
-442.792695,118,0.355451
-110.884613,77,0.544854
-135.510019,81,0.745707
-223.228975,84,0.954551
-70.411063,102,1.205133
-334.850976,125,1.524546
-290.819823,179,1.968996
-418.094568,102,2.220631
-410.378412,167,2.63129
-307.982514,97,2.872498
-309.147063,160,3.26751
-48.922231,104,3.523878
-245.825145,162,3.923477
-395.675686,103,4.181989
-124.234348,169,4.601008
-286.048081,147,4.965848
18.329816,214,5.494937
-164.643097,174,5.92487
-274.445428,177,6.365726
-328.829461,389,7.327756
-175.25451,278,8.015655
-232.314571,587,9.465716
-109.020259,248,10.076516
-169.233734,634,11.642308
-101.572273,408,12.652511
-102.71115,297,13.387213
-226.047139,479,14.567216
-30.050919,1000,17.049541
-160.476236,405,18.050793
-209.613563,314,18.826919
-253.517771,468,19.979832
-251.0053,966,22.369888
-266.528593,530,23.686545
-135.559812,447,24.786967
-108.118385,1000,27.275002
-390.874574,793,29.234017
-394.293678,822,31.273142
-98.908912,368,32.180159
-165.084827,478,33.365787
-129.173537,434,34.444402
-160.222287,622,35.984926
-175.013168,495,37.21075
-70.012601,315,37.996287
-177.435596,534,39.320886
-160.63665,761,41.213933
-149.316792,1000,43.699452
-83.099165,1000,46.179759
-25.981507,1000,48.666838
-45.079004,1000,51.153267
-25.237808,1000,53.645299
-48.889747,1000,56.124711
2.60181,1000,58.745488
-0.996975,1000,61.332242
-44.978549,1000,63.986494
-53.539599,1000,66.481167
-40.845952,1000,68.964207
5.866203,1000,71.455657
-33.496405,1000,73.964873
-27.881849,1000,76.452125
31.393345,1000,78.980538
-117.080003,1000,81.469069
-75.761884,1000,83.969784
-82.750479,1000,86.467504
9.337032,1000,88.959153
-66.481429,1000,91.445669
-105.781216,1000,93.936292
-51.145834,1000,96.45341
-79.619653,1000,98.948552
-105.937735,1000,101.445366
-44.910101,1000,103.936662
-40.994842,1000,106.427289
17.340128,1000,108.917632
-90.76301,317,109.702599
0.947456,1000,112.199868
-20.335806,1000,114.679184
-5.478776,1000,117.169046
-33.075182,1000,119.654773
-103.469372,514,120.924181
6.997061,1000,123.40102
