episode,reward,length,global_step
0,-224.496327,74,74
1,-458.281758,161,235
2,-312.457983,118,353
3,-234.659368,103,456
4,-253.966931,220,676
5,-157.553187,123,799
6,-368.691646,120,919
7,-365.759519,110,1029
8,-360.894749,169,1198
9,-287.925144,146,1344
10,-487.464625,96,1440
11,-364.083666,207,1647
12,-159.878465,279,1926
13,-63.170712,1000,2926
14,-132.953197,159,3085
15,-139.131433,404,3489
16,-136.741088,227,3716
17,-341.31193,169,3885
18,-115.553267,239,4124
19,-116.949984,252,4376
20,-186.4616,226,4602
21,-195.472534,184,4786
22,-214.558623,122,4908
23,-257.460522,191,5099
24,-207.05705,116,5215
25,-194.804633,113,5328
26,-181.367479,161,5489
27,-211.190802,370,5859
28,-129.195948,154,6013
29,-124.953799,298,6311
30,-136.282982,333,6644
31,-207.656866,448,7092
32,-302.261244,573,7665
33,-277.326151,465,8130
34,-337.430973,148,8278
35,-325.924093,175,8453
36,-281.129385,167,8620
37,-235.879486,197,8817
38,-207.440016,266,9083
39,-201.906426,267,9350
40,-201.417146,397,9747
41,-192.772359,416,10163
42,-47.952897,1000,11163
43,-68.873367,1000,12163
44,-90.89694,1000,13163
45,-338.179613,821,13984
46,-303.834742,487,14471
47,-190.118151,1000,15471
48,-158.343773,1000,16471
49,-47.650517,1000,17471
50,-105.919558,1000,18471
51,-81.693256,1000,19471
52,-34.411007,1000,20471
53,-70.187847,1000,21471
54,-42.179224,1000,22471
55,-82.866079,1000,23471
56,-0.581401,1000,24471
57,-31.847886,1000,25471
58,-22.673692,1000,26471
59,-78.738283,72,26543
60,-26.093563,1000,27543
61,-55.17657,1000,28543
62,-22.917802,1000,29543
63,-129.199257,616,30159
64,-13.999055,1000,31159
65,-196.955959,902,32061
66,-72.651011,1000,33061
67,-35.397653,1000,34061
68,-9.204694,372,34433
69,-107.36776,1000,35433
70,-255.250334,1000,36433
71,-175.553411,726,37159
72,-76.572333,1000,38159
73,-27.47414,1000,39159
74,-23.051508,1000,40159
75,-52.17595,1000,41159
76,-77.735339,1000,42159
77,-61.848257,1000,43159
78,-42.602636,1000,44159
79,-148.188784,921,45080
80,-92.095165,1000,46080
81,-30.008837,1000,47080
82,-25.030613,1000,48080
83,-105.091651,1000,49080
84,-148.486002,772,49852
