#{"t_start": 1779909195.712852, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-236.120903,103,0.022141
-304.677631,107,0.330068
-292.234807,98,0.608823
-147.076569,67,0.799093
-104.054986,60,0.96901
-99.134985,162,1.436914
23.570001,225,2.081667
-58.628358,215,2.69308
-176.530558,625,4.466118
-147.451252,1000,7.304683
-60.971052,252,8.020797
-134.484172,397,9.146013
-100.619692,1000,11.985136
-100.024548,618,13.74516
-61.56983,259,14.481207
-140.05389,380,15.559487
-45.081425,323,16.477684
-262.478826,328,17.413742
-42.121561,383,18.504774
-203.30262,125,18.863473
-0.458608,1000,21.993567
-127.969321,875,24.557353
20.976313,1000,27.611611
-51.743834,87,27.860682
-171.28536,101,28.14842
-135.995165,84,28.388652
-261.017942,151,28.819394
-219.322662,245,29.521988
-152.726085,355,30.536323
0.361095,1000,33.399225
32.716463,1000,36.298598
-122.18633,723,38.409005
44.238004,1000,41.281536
-41.317319,1000,44.149714
-19.69951,1000,47.024843
24.313287,1000,49.908845
-31.382308,1000,52.786527
-54.498911,144,53.200387
-84.659696,139,53.599602
-6.159533,171,54.144943
-39.471846,1000,57.067155
-238.783332,974,59.865208
-31.918802,1000,62.748388
-145.462754,978,65.557689
-186.88795,1000,68.429313
-41.885014,1000,71.368283
23.835635,1000,74.243346
41.747984,161,74.703973
-19.852546,1000,77.574877
-64.323568,535,79.108075
246.1879,834,81.519854
283.861552,336,82.478325
21.598183,1000,85.335327
-36.566859,1000,88.233063
-42.287115,1000,91.082279
-15.879942,1000,93.939811
-46.301106,1000,96.802483
-32.541189,1000,99.665603
-63.328283,1000,102.528352
-28.188415,1000,105.432968
-182.594916,676,107.374999
230.739123,377,108.455695
-163.463659,147,108.877373
215.710246,484,110.262214
51.30331,1000,113.131589
-55.347755,1000,115.996198
211.205798,424,117.216204
-16.56698,1000,120.084313
-80.247578,183,120.607834
196.909707,246,121.316618
-80.51592,1000,124.237327
72.726503,1000,127.116836
263.81008,320,128.041168
-25.856898,1000,130.909249
-81.47506,1000,133.77626
184.785401,569,135.404954
260.026824,273,136.187099
-24.656995,1000,139.068201
-15.709299,1000,141.975129
227.192926,357,143.00019
224.852329,301,143.861014
