episode,reward,length,global_step
0,-159.658123,75,75
1,-290.180648,99,174
2,-377.543935,143,317
3,-116.835821,83,400
4,-294.136223,132,532
5,-225.383877,88,620
6,-55.16531,80,700
7,-218.132713,193,893
8,-131.491663,72,965
9,-178.57744,93,1058
10,-151.457887,100,1158
11,-63.207718,82,1240
12,-36.963154,82,1322
13,-309.849979,142,1464
14,-404.71404,156,1620
15,-248.932028,151,1771
16,-33.443848,105,1876
17,-190.952553,169,2045
18,38.485045,120,2165
19,-369.091478,144,2309
20,9.305995,130,2439
21,-356.802751,174,2613
22,-196.700057,128,2741
23,-48.545453,124,2865
24,-298.526672,134,2999
25,-95.073239,185,3184
26,-155.688092,276,3460
27,-214.185787,221,3681
28,-361.975363,186,3867
29,-300.156798,403,4270
30,-302.688183,614,4884
31,-312.610308,213,5097
32,-173.009254,1000,6097
33,-139.871947,396,6493
34,-191.44247,720,7213
35,-224.388545,711,7924
36,-138.328769,1000,8924
37,-90.619272,312,9236
38,-91.255988,1000,10236
39,-48.788976,1000,11236
40,-61.067193,1000,12236
41,-61.124626,1000,13236
42,-65.744441,1000,14236
43,14.14234,1000,15236
44,-93.484519,1000,16236
45,-163.160239,579,16815
46,-91.112456,216,17031
47,-158.488735,462,17493
48,-180.310045,514,18007
49,-168.174654,632,18639
50,-190.181939,607,19246
51,-175.842673,654,19900
52,-78.388903,1000,20900
53,-47.901907,1000,21900
54,-62.231751,1000,22900
55,-72.092736,1000,23900
56,-83.293232,1000,24900
57,-22.423656,1000,25900
58,-89.790577,1000,26900
59,-83.644023,1000,27900
60,-129.700673,504,28404
61,-89.385223,1000,29404
62,-65.07524,1000,30404
63,-71.177917,1000,31404
64,-90.123803,1000,32404
65,-44.670866,1000,33404
66,-81.071885,1000,34404
67,-55.851041,1000,35404
68,-58.873566,1000,36404
69,-90.729468,1000,37404
70,-97.139098,1000,38404
71,-68.834601,1000,39404
72,-86.335496,1000,40404
73,-15.379583,1000,41404
74,-18.991327,1000,42404
75,-57.305859,1000,43404
76,-79.016693,1000,44404
77,-109.476054,1000,45404
78,-94.659516,1000,46404
79,-64.365038,1000,47404
80,-80.243098,1000,48404
81,-72.800512,1000,49404
