#{"t_start": 1779911257.1640499, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-237.952335,103,0.019506
-306.365288,133,0.319265
-276.733398,106,0.557241
-67.726771,107,0.795842
-426.096626,100,1.019596
-74.814651,153,1.366318
-116.714662,95,1.582977
-138.874985,122,1.855944
29.669739,1000,4.098653
-147.677133,92,4.303029
1.76128,85,4.499045
-37.995733,134,4.800329
-77.628687,331,5.544816
-21.752,222,6.041033
-350.786698,160,6.398366
-449.710944,184,6.807931
-235.590833,163,7.174604
-13.495796,106,7.412366
-33.33219,195,7.847049
-293.561556,165,8.215603
-9.793001,96,8.430219
-372.464293,138,8.73771
-501.294513,146,9.065565
-277.243485,138,9.375181
-315.656086,155,9.721887
7.686165,272,10.330061
-48.28538,168,10.705881
-77.752858,170,11.086855
-34.606443,208,11.555526
-275.973134,302,12.229702
-55.293183,185,12.643745
-215.94424,264,13.233205
-224.103842,184,13.64759
-106.917539,1000,15.897582
-30.298253,489,16.989367
-13.555494,1000,19.22541
41.270885,1000,21.463734
-47.551014,1000,23.705568
7.094177,1000,25.945132
-12.207858,1000,28.1821
-30.725282,1000,30.421371
-81.928105,1000,32.656763
-55.842703,1000,34.891677
-46.007577,1000,37.13009
-30.200762,325,37.857551
2.224959,1000,40.095827
16.374217,1000,42.339596
48.463568,1000,44.585706
11.206587,1000,46.828783
4.559049,1000,49.076067
28.099458,1000,51.321317
19.628945,1000,53.574581
-69.508268,455,54.593873
18.795894,1000,56.839539
-23.961195,1000,59.08297
-7.178661,1000,61.327203
-6.868947,1000,63.57174
-87.226094,1000,65.812985
-18.709853,1000,68.05865
-141.589553,181,68.462134
-129.146406,152,68.806622
-0.409821,1000,71.049369
-45.228385,1000,73.291781
-141.283923,434,74.268742
-13.981244,1000,76.515677
-26.439202,1000,78.765879
-23.908871,1000,81.013253
-20.477168,1000,83.264939
-28.723185,1000,85.518878
-21.922574,1000,87.774914
-17.262619,1000,90.026398
-28.863729,1000,92.27498
-9.645368,1000,94.530071
-26.498618,1000,96.786513
-44.878171,1000,99.041892
-28.196922,1000,101.288456
-76.55184,1000,103.541222
-40.623541,1000,105.792094
-92.508203,1000,108.044618
-47.26435,214,108.525312
-130.238172,488,109.626705
-56.642896,1000,111.879133
