#{"t_start": 1779911576.081145, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-157.255758,129,0.054242
-527.137361,79,0.162907
-411.851684,121,0.330798
-562.080286,90,0.454305
-270.013909,99,0.58897
-319.997322,77,0.695137
-353.856235,87,0.814358
-246.047896,80,0.934888
-343.963922,89,1.080242
-388.835648,120,1.247282
-925.335281,143,1.445825
-397.404966,161,1.666082
-157.103737,100,1.802095
-137.462072,82,1.915085
-619.014876,92,2.041234
-1005.900841,148,2.247197
-186.725208,79,2.355223
-426.769686,92,2.482114
-177.169243,163,2.705352
-551.665717,140,2.897099
-548.676959,120,3.061829
-332.302783,93,3.188822
-513.28211,91,3.315315
-122.837089,92,3.441359
-1032.459826,166,3.668906
-622.690125,128,3.84366
-145.780844,85,3.960782
-122.667464,119,4.124239
-1777.298427,224,4.43362
-405.882386,200,4.708632
-988.430521,98,4.843132
-137.382975,95,4.972035
-473.19585,134,5.156286
-441.828965,278,5.538704
-136.407673,134,5.722836
-657.608579,175,5.963909
-43.533323,111,6.116296
-122.382433,284,6.505889
-370.233516,102,6.645986
-220.432435,160,6.864523
-144.534281,122,7.0306
-412.43273,120,7.195105
-382.013599,135,7.379525
-679.702084,112,7.534917
-336.100244,113,7.68927
-235.775111,187,7.945126
-726.494307,158,8.160364
-78.052414,168,8.390161
-406.668716,144,8.587796
-608.184338,265,8.952353
-709.987421,183,9.202744
-220.771265,198,9.473312
-413.573962,149,9.677821
-184.137475,108,9.826192
-574.433859,210,10.112167
-313.402153,273,10.48435
-212.719178,145,10.681954
-388.789203,149,10.884837
-346.797601,131,11.063873
-37.586907,144,11.260102
-383.73966,130,11.437822
-181.178036,96,11.569243
-82.211527,178,11.814871
-227.46716,240,12.144036
-248.958149,94,12.272322
-197.757576,111,12.424177
-121.377506,99,12.559452
-152.092551,127,12.733243
-174.19092,96,12.864544
-308.737415,230,13.179134
-246.573575,297,13.58455
-93.490421,212,13.876032
-117.288456,328,14.333917
-376.606749,340,14.803566
-334.648338,219,15.101652
-185.606184,272,15.472898
-377.488941,297,15.876443
-108.377224,368,16.394482
-94.564086,328,16.847073
-149.708672,229,17.16035
-226.778106,207,17.442298
-163.017195,171,17.675946
-109.906421,99,17.810796
-267.798661,176,18.052369
-191.986081,144,18.251233
-197.237019,132,18.431527
-170.772077,383,18.953385
-278.368684,202,19.228398
-117.809156,240,19.55532
-225.929005,267,19.917591
-208.893646,147,20.117654
-45.88165,140,20.310942
-184.959091,130,20.488275
-165.821059,99,20.623742
-184.997578,113,20.778432
-98.790496,130,20.955909
-338.760275,160,21.174172
-498.639552,344,21.642823
-73.254247,165,21.868098
-15.892603,170,22.10028
-195.68986,299,22.510032
-1.791061,198,22.783957
-58.19121,454,23.404837
-37.077563,136,23.590426
-139.238547,192,23.851918
-88.883314,344,24.322014
5.818094,494,24.998711
-102.277158,379,25.517043
-456.119651,307,25.935935
-394.298936,467,26.643473
-16.298446,299,27.072332
-45.469807,107,27.218998
-74.026179,102,27.359022
11.555802,121,27.52514
-181.301148,1000,28.891308
-42.682763,121,29.057241
-26.242474,116,29.217825
-160.188072,1000,30.582857
-72.566591,152,30.791124
-21.454259,167,31.023721
-100.134045,170,31.257497
-0.547139,156,31.470764
-224.525781,221,31.77221
-239.668504,170,32.006058
-226.139634,144,32.202891
-228.366248,128,32.378276
-220.893895,138,32.566194
-191.965388,150,32.77063
-213.787427,146,32.974572
-195.473545,143,33.174393
-223.618542,142,33.369392
-44.737939,149,33.573218
-174.582039,176,33.813961
-20.528525,164,34.039054
-207.330394,133,34.220771
-199.79654,143,34.418537
-193.042334,258,34.771521
-196.398765,148,34.973684
-85.514776,303,35.389329
-126.660991,445,35.996075
-122.485641,192,36.25847
-136.512659,111,36.410838
-121.060876,95,36.540799
-119.718293,210,36.828001
-156.705414,290,37.222283
-207.140173,133,37.408952
-143.124854,449,38.023528
-207.110501,365,38.523637
-246.016157,167,38.751636
-208.828393,467,39.390115
-136.463189,146,39.592358
-193.763339,259,39.946425
-200.701954,267,40.312701
-200.162736,392,40.847523
-170.705906,162,41.068766
-157.151578,422,41.649374
-156.650398,187,41.904981
-171.030058,201,42.180409
-211.972483,647,43.062344
-205.565771,361,43.555849
-74.806315,1000,44.925062
-201.504449,299,45.333784
-149.488848,1000,46.708664
-121.583278,176,46.950316
-171.771158,339,47.416272
-210.11855,247,47.75465
-189.228058,237,48.082249
-206.569953,350,48.564771
-231.423244,336,49.025386
-176.099615,266,49.389108
214.812454,388,49.921682
-59.923816,336,50.384621
-216.511328,223,50.690273
-32.357732,240,51.019136
-57.454825,303,51.433846
19.381291,315,51.865418
-271.280422,529,52.594628
-138.954567,513,53.298391
-163.9611,831,54.436853
-151.999779,350,54.916953
-174.652917,481,55.576838
-222.891146,332,56.032983
-143.142757,268,56.400464
-198.252026,305,56.821682
-220.998322,349,57.300385
-162.841464,326,57.747635
-149.953674,234,58.068613
-197.98348,346,58.544561
-170.864591,385,59.075293
-140.737007,482,59.738517
-213.442319,295,60.14187
-272.339163,726,61.138783
-142.055921,309,61.562668
-92.572152,526,62.284193
-135.685059,216,62.579765
-162.853555,251,62.926384
-161.421334,269,63.295646
-215.160686,247,63.63479
-186.309893,316,64.069338
-88.059552,184,64.325197
-144.599981,334,64.784865
-174.483602,284,65.178029
-177.279692,299,65.592432
-66.87251,331,66.061311
-53.275092,229,66.380945
-112.885862,368,66.913963
-52.841001,235,67.255648
-112.240952,383,67.798892
-139.296805,290,68.205728
-143.852367,268,68.576758
