episode,reward,length,global_step
0,-120.01624,169,169
1,-342.258535,54,223
2,-434.040365,49,272
3,-398.751906,91,363
4,-416.255495,177,540
5,-1011.238402,91,631
6,-223.985457,153,784
7,-196.584779,96,880
8,-236.245039,131,1011
9,-135.674763,90,1101
10,-182.729289,179,1280
11,-298.805874,163,1443
12,-176.647365,467,1910
13,-132.015758,1000,2910
14,-332.529999,924,3834
15,-10.59365,156,3990
16,-149.629498,1000,4990
17,-104.260806,1000,5990
18,-209.563265,192,6182
19,-188.534377,148,6330
20,-93.474031,410,6740
21,-228.051411,482,7222
22,-105.446884,282,7504
23,-242.434749,884,8388
24,-309.076683,1000,9388
25,-400.217533,599,9987
26,-323.355659,547,10534
27,-430.651809,800,11334
28,-267.176857,996,12330
29,-96.355186,1000,13330
30,-86.43507,1000,14330
31,-96.922453,1000,15330
32,-122.303307,579,15909
33,-300.666316,326,16235
34,-83.902471,1000,17235
35,-124.210627,1000,18235
36,-169.835271,630,18865
37,-91.295419,203,19068
38,-84.497313,1000,20068
39,-179.242893,1000,21068
40,-841.913402,403,21471
41,-129.6466,461,21932
42,-15.377461,1000,22932
43,-264.160653,700,23632
44,-141.946724,534,24166
45,-108.281492,1000,25166
46,-234.013556,928,26094
47,-154.782415,1000,27094
48,-24.893631,1000,28094
49,-31.255604,1000,29094
50,-3.43904,1000,30094
51,-85.28777,1000,31094
52,-42.131192,295,31389
53,-305.840007,415,31804
54,-62.873228,1000,32804
55,-210.55497,383,33187
56,-227.308199,395,33582
57,-194.819146,368,33950
58,-257.404033,768,34718
59,-22.95472,1000,35718
60,-29.056675,1000,36718
61,-201.922267,519,37237
62,-122.95472,1000,38237
63,-106.400391,288,38525
64,-73.593891,271,38796
65,-294.153998,918,39714
66,-111.392973,322,40036
67,-106.530304,364,40400
68,-228.686615,740,41140
69,-153.741372,530,41670
70,-168.464682,1000,42670
71,-218.984627,781,43451
72,-250.774603,603,44054
73,-193.170413,371,44425
74,-38.538627,380,44805
75,18.634253,325,45130
76,1.113592,166,45296
77,-96.311233,1000,46296
78,-183.170506,301,46597
79,-194.44098,677,47274
80,-55.95873,1000,48274
81,-45.791759,1000,49274
