episode,reward,length,global_step
0,-124.799059,203,203
1,-158.977761,63,266
2,-330.283565,48,314
3,-651.632737,69,383
4,-216.801576,85,468
5,-5.506894,82,550
6,-42.716965,96,646
7,-255.93626,87,733
8,-267.200065,104,837
9,-203.578792,84,921
10,-707.056989,276,1197
11,-733.842976,87,1284
12,-227.488979,346,1630
13,-246.8726,296,1926
14,-138.195259,242,2168
15,-173.447758,224,2392
16,-50.423176,135,2527
17,-222.136542,203,2730
18,-319.973457,197,2927
19,-211.149447,190,3117
20,-263.871926,194,3311
21,-324.468029,259,3570
22,-129.901075,201,3771
23,-27.74075,147,3918
24,-304.044247,185,4103
25,-300.936332,255,4358
26,-23.788985,175,4533
27,-256.772874,223,4756
28,-222.194698,219,4975
29,-528.036107,143,5118
30,-63.671879,220,5338
31,-1088.41956,401,5739
32,-109.369628,183,5922
33,-89.786312,139,6061
34,-252.100763,451,6512
35,-146.290455,103,6615
36,-445.614038,177,6792
37,-84.152628,154,6946
38,-174.601977,142,7088
39,-267.485831,361,7449
40,-159.314535,137,7586
41,-64.95791,117,7703
42,-158.639252,110,7813
43,-100.085717,88,7901
44,-146.984764,134,8035
45,-23.567995,120,8155
46,-89.539024,126,8281
47,-155.530491,104,8385
48,-161.154188,166,8551
49,-205.818135,142,8693
50,-107.635444,96,8789
51,-135.359934,98,8887
52,-132.382757,130,9017
53,-176.505941,150,9167
54,-218.507958,248,9415
55,-131.891863,125,9540
56,-173.626135,118,9658
57,-127.504795,99,9757
58,-156.740028,122,9879
59,-148.772725,122,10001
60,-213.370528,302,10303
61,-115.608544,221,10524
62,-239.847131,195,10719
63,-225.33553,160,10879
64,-291.933876,170,11049
65,-484.117748,183,11232
66,-207.254604,221,11453
67,-266.606687,279,11732
68,-912.328422,448,12180
69,-1679.276553,529,12709
70,-341.228469,203,12912
71,-203.75304,114,13026
72,-577.237383,408,13434
73,-480.738782,372,13806
74,-246.113772,208,14014
75,-391.913806,220,14234
76,-319.93094,120,14354
77,-310.507655,157,14511
78,-336.863761,148,14659
79,-437.54066,194,14853
80,-349.566652,145,14998
81,-430.7452,142,15140
82,-366.746165,143,15283
83,-268.451622,104,15387
84,-445.33028,156,15543
85,-313.176888,80,15623
86,-459.949788,167,15790
87,33.609114,136,15926
88,-403.113393,195,16121
89,-72.304279,98,16219
90,-337.062819,80,16299
91,-295.099618,98,16397
92,-296.67772,211,16608
93,-350.295168,187,16795
94,-99.0675,261,17056
95,-20.146977,95,17151
96,-230.896929,198,17349
97,-231.977385,179,17528
98,-156.907207,232,17760
99,-228.834203,158,17918
100,-251.019889,159,18077
101,-294.465943,173,18250
102,-190.338501,140,18390
103,-222.121855,183,18573
104,-209.509033,170,18743
105,-52.607545,1000,19743
106,18.133702,218,19961
107,-385.266079,1000,20961
108,-464.85676,1000,21961
109,-118.238917,531,22492
110,-310.171109,318,22810
111,-319.136104,327,23137
112,-41.037959,165,23302
113,-281.624962,334,23636
114,-276.128515,647,24283
115,-87.844262,1000,25283
116,12.113213,146,25429
117,-91.885727,330,25759
118,-139.84779,782,26541
119,-141.184437,1000,27541
120,-244.710588,727,28268
121,-63.663305,573,28841
122,-44.995815,211,29052
123,-90.505001,348,29400
124,-642.591925,1000,30400
125,-137.364309,438,30838
126,-252.206447,358,31196
127,-213.76054,322,31518
128,138.969197,860,32378
129,-112.812306,177,32555
130,-237.729729,357,32912
131,-155.337015,353,33265
132,-124.885699,397,33662
133,-120.753034,414,34076
134,-127.405502,190,34266
135,-116.868038,177,34443
136,-119.335782,199,34642
137,-108.43808,163,34805
138,-80.343137,1000,35805
139,-54.402315,1000,36805
140,-47.156427,1000,37805
141,-237.393302,398,38203
142,-85.228924,1000,39203
143,-189.613024,332,39535
144,-48.124222,1000,40535
145,-32.070748,1000,41535
146,-26.504233,1000,42535
147,-10.009046,1000,43535
148,-96.446109,182,43717
149,-33.813203,1000,44717
150,-370.108418,322,45039
151,-157.900036,508,45547
152,-104.416922,330,45877
153,-300.086239,206,46083
154,-120.768676,137,46220
155,-338.709803,353,46573
156,-263.493353,170,46743
157,-272.734537,195,46938
158,-84.21745,312,47250
159,-63.406363,253,47503
160,-151.943838,617,48120
161,-134.424883,506,48626
162,-101.870281,280,48906
163,-341.327073,199,49105
164,-111.423398,215,49320
165,-324.805719,232,49552
166,-280.693194,114,49666
167,-123.744044,259,49925
