#{"t_start": 1779912811.610663, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-224.496327,74,0.014749
-182.591385,114,0.221244
-118.534922,54,0.341809
-22.510459,72,0.488376
-744.664903,89,0.666154
-564.131079,60,0.783696
-629.132552,72,0.924664
-427.248246,101,1.121117
-1.568726,99,1.318141
-362.526147,98,1.512522
-96.716616,114,1.735746
-270.476267,140,2.000136
-639.720928,128,2.227442
-405.787549,96,2.417652
-470.65244,76,2.58522
-279.585691,103,2.768135
-175.258864,135,3.023705
-257.088633,152,3.296045
-218.916758,104,3.521543
-251.968166,122,3.747672
-433.366482,126,3.971847
-367.790447,117,4.178315
-122.772779,113,4.378976
-131.341166,174,4.689153
-258.621181,350,5.466709
-335.275423,99,5.664535
-357.345796,85,5.82817
-155.688148,107,6.071387
-43.832864,225,6.479259
-207.243904,203,6.901069
-159.840744,198,7.252354
-320.098487,904,9.044362
-127.406281,137,9.333403
-23.953185,137,9.577898
-86.016297,92,9.740257
-254.99455,238,10.162336
-48.84771,98,10.336314
-56.704398,143,10.589926
-47.546127,109,10.781304
-22.623928,144,11.039533
-285.329328,143,11.308621
-86.659616,136,11.584179
-190.392879,161,11.888125
-186.522604,138,12.148184
-491.743799,234,12.602067
-153.495817,97,12.772997
-227.55005,209,13.165081
-171.344868,162,13.484848
-116.359045,161,13.770812
-173.615743,143,14.025755
-178.83008,98,14.199624
-118.843528,123,14.418342
-139.875601,130,14.650012
-130.562589,131,14.879279
-69.847281,102,15.058611
-18.639154,124,15.279821
-98.293632,99,15.456626
-113.915811,154,15.729908
-206.100682,152,15.999728
-135.383722,113,16.198681
-123.373448,107,16.38892
-132.109059,110,16.583785
-113.668944,104,16.767791
-101.384798,134,17.0055
-157.424066,116,17.212927
-123.040862,156,17.490108
-100.453446,146,17.747596
-87.035272,168,18.046458
-197.679837,142,18.301948
-190.096746,135,18.61281
-137.309221,129,18.887388
-216.544451,243,19.351819
-96.356985,155,19.679134
-172.535234,181,20.111629
-163.674222,194,20.473103
-157.991192,153,20.745331
-202.146549,139,20.991203
-61.370164,189,21.327776
-120.922125,160,21.613563
-318.184425,281,22.110273
-85.527498,226,22.508982
-212.361073,267,22.979491
-50.747594,116,23.185099
-649.640876,146,23.443701
-158.336522,231,23.853422
-90.332879,114,24.055061
-220.070873,255,24.505916
-132.219341,312,25.057242
-139.18697,99,25.232144
-161.162478,307,25.776052
-127.039063,205,26.13772
-92.91764,179,26.45363
-407.894737,264,26.919346
-246.974985,236,27.385688
-157.799599,182,27.735145
-657.26058,238,28.160457
-144.506473,129,28.388644
-622.15865,215,28.771516
-112.117178,272,29.253493
-229.008104,203,29.682075
-225.358768,235,30.132161
-180.788317,175,30.439963
-119.636337,233,30.851889
-240.847642,437,31.626785
-178.001036,281,32.125562
-115.634127,555,33.106724
-56.011424,186,33.43488
-98.609637,179,33.753293
-136.783727,178,34.068121
-178.828963,156,34.348209
-161.191078,154,34.62168
-112.474625,137,34.864247
-225.599956,526,35.996763
-100.443072,360,36.638272
-205.34416,574,37.681591
-49.510011,210,38.066763
-154.656449,366,38.718648
-95.233302,592,39.768744
-73.205683,523,40.699552
-173.925062,548,41.671245
-338.032185,548,42.775757
-226.616582,356,43.47849
-164.920897,331,44.150785
-171.572169,266,44.742792
-180.399115,321,45.385191
-92.439065,299,45.914591
-280.409716,351,46.591043
-130.311091,269,47.189058
-104.929645,252,47.652533
-95.324138,275,48.191358
-48.41369,1000,50.356087
-190.8184,168,50.736746
-128.280505,353,51.444285
-218.489548,207,51.9039
-186.531498,160,52.217418
-122.236117,238,52.643436
-202.110756,744,54.204062
-156.717176,337,54.849374
-118.523084,120,55.078116
-179.525041,278,55.592453
-138.748127,181,55.926279
-148.338065,220,56.391719
-125.654878,153,56.75463
-128.368387,126,56.993605
-122.381535,174,57.306632
-105.321428,438,58.1943
-170.392549,281,58.755332
-116.357026,116,58.977625
-247.807661,433,59.80045
117.354975,998,61.600121
-149.502481,311,62.157584
-168.14986,459,63.077444
-150.690649,218,63.47198
-156.610939,333,64.142353
-130.103005,159,64.445095
-90.582908,152,64.719773
-156.264124,345,65.360259
-145.075898,575,66.457125
-128.832366,119,66.67449
-121.947081,251,67.187074
-85.823107,178,67.52178
-169.283593,380,68.21386
-81.979607,274,68.705444
-184.175958,392,69.422338
-128.491619,253,69.930425
-158.919312,204,70.33462
-93.633022,126,70.577601
-169.754028,102,70.790271
-177.593868,110,70.994693
-202.920495,133,71.231411
-197.559915,137,71.500167
-200.717411,257,71.988707
-135.986085,276,72.484316
-38.501797,312,73.063434
2.104132,1000,75.01905
-289.724684,504,75.952617
-122.977882,832,77.556803
-10.279691,1000,79.464975
-186.4559,640,81.361759
-59.569892,178,81.866181
-285.598985,662,83.333128
24.324323,247,83.900873
-143.899218,450,84.824822
-193.023542,437,86.122995
27.192303,1000,88.207459
-7.985553,1000,90.003836
31.865525,1000,91.834116
-144.293017,277,92.330049
-144.831394,243,92.764091
-162.068613,380,93.44232
-95.134509,243,93.920229
-110.612466,442,94.813413
-175.37342,502,95.761513
