episode,reward,length,global_step
0,-128.314516,244,244
1,-93.74538,89,333
2,-150.715316,65,398
3,-154.030041,62,460
4,26.837498,67,527
5,-162.238154,88,615
6,-103.484743,57,672
7,-140.676999,54,726
8,-140.018697,139,865
9,-213.428671,191,1056
10,-193.18169,132,1188
11,-332.898705,86,1274
12,-350.246695,130,1404
13,-582.672662,93,1497
14,-274.358575,128,1625
15,-664.389253,108,1733
16,-502.029976,188,1921
17,-288.517981,104,2025
18,-305.515031,173,2198
19,-206.478816,328,2526
20,-437.259558,241,2767
21,-266.623896,127,2894
22,-329.561782,314,3208
23,-286.483902,277,3485
24,-276.453557,100,3585
25,-492.372504,158,3743
26,-346.335276,126,3869
27,-324.579308,106,3975
28,-382.08082,118,4093
29,-309.237595,141,4234
30,-629.110274,212,4446
31,-307.747996,231,4677
32,-265.680279,162,4839
33,-401.169953,150,4989
34,-303.525619,218,5207
35,-191.043606,159,5366
36,-89.808565,156,5522
37,-231.194445,174,5696
38,-109.39123,194,5890
39,-270.176758,227,6117
40,-319.808099,180,6297
41,-136.338149,126,6423
42,-481.109852,167,6590
43,-210.538806,197,6787
44,-53.103636,229,7016
45,-132.700457,112,7128
46,-131.864037,118,7246
47,-58.211692,463,7709
48,-138.168966,202,7911
49,-35.802712,195,8106
50,-150.442963,168,8274
51,-225.607374,361,8635
52,-189.104635,201,8836
53,-192.545282,116,8952
54,-197.785784,260,9212
55,-38.376976,329,9541
56,-175.684657,181,9722
57,-116.975324,222,9944
58,-109.59083,204,10148
59,-196.714422,152,10300
60,-44.422431,93,10393
61,-122.581301,180,10573
62,-288.98456,176,10749
63,-204.664188,105,10854
64,-361.491925,187,11041
65,-139.682481,114,11155
66,-174.672122,96,11251
67,-108.837295,101,11352
68,-92.396575,135,11487
69,-175.941306,162,11649
70,-198.669528,102,11751
71,-247.19439,169,11920
72,-173.11948,92,12012
73,-231.606773,133,12145
74,-86.299209,120,12265
75,-186.05025,242,12507
76,-172.751199,147,12654
77,-193.312914,109,12763
78,-259.287691,116,12879
79,16.710628,169,13048
80,-242.902327,102,13150
81,-217.368629,94,13244
82,-249.075131,112,13356
83,-182.682343,89,13445
84,-225.213362,90,13535
85,-233.579557,141,13676
86,26.191915,118,13794
87,-226.259151,86,13880
88,-137.505874,231,14111
89,-145.06147,158,14269
90,-189.449361,98,14367
91,-204.85654,108,14475
92,-173.291065,99,14574
93,-359.947449,110,14684
94,-110.951844,130,14814
95,-213.481654,85,14899
96,-11.707457,112,15011
97,-208.550696,319,15330
98,-234.489897,174,15504
99,-209.283585,433,15937
100,-188.946318,126,16063
101,-345.024215,328,16391
102,-266.660454,260,16651
103,-126.501355,95,16746
104,-18.687203,99,16845
105,-343.941681,280,17125
106,-181.455836,182,17307
107,-233.77695,223,17530
108,-33.104407,193,17723
109,-231.289299,200,17923
110,-411.86231,221,18144
111,-149.235416,192,18336
112,-229.06802,239,18575
113,-201.266117,197,18772
114,-255.29704,217,18989
115,-105.734668,176,19165
116,-126.971614,128,19293
117,-131.498943,113,19406
118,-165.271407,110,19516
119,-296.045682,180,19696
120,-127.621134,157,19853
121,-218.9481,120,19973
122,-225.233474,103,20076
123,-227.257026,200,20276
124,-158.188346,106,20382
125,-306.313823,183,20565
126,-155.628463,102,20667
127,-273.032413,171,20838
128,-377.296285,182,21020
129,-246.099505,201,21221
130,-275.544325,178,21399
131,-412.694839,168,21567
132,-362.899975,106,21673
133,-365.093665,117,21790
134,-296.509953,123,21913
135,-166.6847,268,22181
136,-236.798974,142,22323
137,-166.696431,184,22507
138,-191.548209,151,22658
139,-222.108659,179,22837
140,-212.473594,161,22998
141,-785.151964,310,23308
142,-156.546953,251,23559
143,-533.767177,193,23752
144,-200.63399,191,23943
145,-230.893348,221,24164
146,-410.985916,217,24381
147,-271.748709,152,24533
148,-193.298453,132,24665
149,-275.852499,151,24816
150,-202.512247,161,24977
151,-194.450363,207,25184
152,-488.202196,219,25403
153,-568.481231,407,25810
154,-336.154832,293,26103
155,-532.112311,307,26410
156,-547.272637,361,26771
157,-605.887086,310,27081
158,-277.955732,312,27393
159,-335.24444,267,27660
160,-347.162317,369,28029
161,-501.721372,331,28360
162,-211.975839,198,28558
163,-201.698073,187,28745
164,-214.943788,301,29046
165,-224.260653,187,29233
166,265.740341,381,29614
167,-216.620827,307,29921
168,-173.441463,139,30060
169,-259.532634,183,30243
170,-225.424213,188,30431
171,-228.262296,230,30661
172,-211.398202,189,30850
173,-203.076912,223,31073
174,-183.203643,134,31207
175,-213.153408,242,31449
176,-170.739162,212,31661
177,-202.343094,261,31922
178,-154.863228,169,32091
179,-154.753402,124,32215
180,-160.125524,258,32473
181,-160.247841,127,32600
182,-301.31523,284,32884
183,-157.503005,211,33095
184,-171.535239,152,33247
185,-219.725199,250,33497
186,-169.603604,168,33665
187,-85.342557,228,33893
188,-238.138471,311,34204
189,-104.07381,130,34334
190,-87.92472,130,34464
191,-77.497944,113,34577
192,-196.551094,261,34838
193,-77.26362,138,34976
194,-208.331393,196,35172
195,-188.434302,261,35433
196,-183.782793,141,35574
197,-136.396998,235,35809
198,-58.112692,114,35923
199,-209.245121,323,36246
200,-130.688188,260,36506
201,-205.02574,237,36743
202,-157.76001,154,36897
203,-102.730883,131,37028
204,-109.700394,118,37146
205,-196.932571,212,37358
206,-190.489141,201,37559
207,-140.325578,136,37695
208,-162.3056,175,37870
209,-82.980336,308,38178
210,-118.070838,133,38311
211,-126.51002,117,38428
212,-115.38393,118,38546
213,-159.874984,174,38720
214,-88.264644,206,38926
215,-125.476706,125,39051
216,-101.032014,190,39241
217,228.166053,192,39433
218,-147.408778,273,39706
219,-109.489186,202,39908
220,-131.108187,133,40041
221,-154.587874,246,40287
222,-145.288832,215,40502
223,-153.850211,154,40656
224,-141.450018,211,40867
225,-135.338007,238,41105
226,-126.191202,124,41229
227,-116.303233,126,41355
228,-198.760474,230,41585
229,-191.962965,302,41887
230,-139.033511,169,42056
231,-130.462267,223,42279
232,-99.746626,136,42415
233,-195.697181,222,42637
234,-168.29735,283,42920
235,-183.603403,258,43178
236,-61.732558,115,43293
237,-141.081956,112,43405
238,-46.994325,209,43614
239,-53.005783,120,43734
240,-138.000554,162,43896
241,-121.454552,221,44117
242,-134.325707,207,44324
243,-193.443463,306,44630
244,-28.137751,114,44744
245,-15.774173,106,44850
246,-123.426886,219,45069
247,195.727922,323,45392
248,-98.348378,76,45468
249,210.248469,247,45715
250,-158.25521,296,46011
251,14.641278,129,46140
252,-99.407646,208,46348
253,-178.290555,290,46638
254,-4.533984,114,46752
255,-190.334903,232,46984
256,-193.125073,254,47238
257,227.398645,179,47417
258,-206.481595,530,47947
259,-141.762178,186,48133
260,-165.367954,256,48389
261,-128.202669,106,48495
262,-49.607248,123,48618
263,-146.625117,202,48820
264,-161.207207,336,49156
265,-122.691964,433,49589
266,-26.551417,143,49732
267,-110.951515,192,49924
