#{"t_start": 1779913461.873434, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-181.10342,119,0.048564
-276.026633,111,0.238723
-85.397329,70,0.369534
-317.19677,109,0.8475
-120.195768,65,0.977718
-137.105161,68,1.128543
-129.476185,66,1.263897
-164.085716,72,1.379635
-160.361331,68,1.482824
-799.535029,90,1.609297
-830.564598,86,1.764346
-363.619186,60,1.86863
-364.690051,51,1.942656
-502.83808,65,2.033377
-375.048322,60,2.117997
-436.524029,88,2.242247
-53.849822,81,2.362988
-88.585407,187,2.62263
-76.892719,188,2.901027
-424.982616,133,3.107038
-283.432406,91,3.232837
-147.198538,175,3.474608
-221.796294,98,3.610858
-106.749314,50,3.687798
-180.940828,75,3.796681
-65.584702,106,3.950342
-90.006062,88,4.072652
-73.856245,133,4.259163
-220.318586,90,4.383665
2.377264,84,4.499658
-6.878909,82,4.613393
-128.189191,153,4.82377
-116.224601,61,4.907886
-206.235146,74,5.008618
-28.898097,97,5.140545
5.996236,101,5.277925
-188.334547,168,5.505769
-156.199007,160,5.735258
-164.093271,79,5.850485
-161.013544,76,5.959658
-98.138246,74,6.067859
-134.830428,77,6.178236
-139.682049,85,6.327458
-183.410904,150,6.670653
-91.252877,73,6.85039
-188.775686,148,7.132778
-136.76306,89,7.376746
-91.933657,74,7.52639
-130.329701,178,7.813558
-142.623952,100,7.953254
-140.83534,86,8.097106
-127.049891,85,8.242747
-112.399781,82,8.386893
-122.730567,101,8.549237
-117.513347,84,8.696473
-99.368949,71,8.802483
-121.782763,87,8.958493
-130.84784,93,9.109556
-135.305139,93,9.28256
-114.337565,86,9.441204
-114.665494,78,9.554228
-175.943603,150,9.762495
-76.118878,81,9.880204
-213.142758,124,10.119322
-139.219944,86,10.270299
-142.02888,91,10.398962
-79.590032,76,10.515079
-172.863841,96,10.702666
-116.126404,105,10.866143
-250.28439,150,11.129156
-119.643727,86,11.269813
-193.854397,94,11.434987
-139.788676,89,11.57006
-161.786113,90,11.731546
-137.942155,98,11.886969
-122.453562,80,12.016781
-131.66808,89,12.192391
-154.894759,85,12.315653
-223.374302,173,12.554701
-143.546195,94,12.683084
-145.115153,81,12.79341
-226.917455,187,13.04761
-136.3332,87,13.165928
-87.064226,76,13.270478
-211.849532,116,13.47555
-136.673375,99,13.6395
-72.310767,78,13.75422
-122.02149,93,13.923172
-239.0397,119,14.092976
-248.575414,166,14.380071
-217.720865,158,14.609785
-119.958854,85,14.730312
-143.771491,98,14.869926
-87.092305,71,14.972124
-149.89619,101,15.1213
-86.129629,96,15.288202
-248.584256,296,15.76437
-107.746476,85,15.887797
-104.234912,75,16.009125
-130.094821,167,16.271035
-157.137958,89,16.397583
-175.705145,80,16.509427
-186.099935,93,16.638999
9.354353,97,16.77353
-94.682716,72,16.873428
-86.71119,72,16.986822
-145.445325,85,17.151203
-98.515518,80,17.306741
-139.074719,84,17.453765
-80.137816,67,17.548796
-154.670098,86,17.668734
-92.670682,74,17.771885
-74.647322,69,17.868055
-225.82423,189,18.214665
-127.787933,75,18.345603
-184.493641,107,18.521305
-118.760616,78,18.638347
-197.817624,211,18.940758
-110.150411,73,19.07898
-74.370824,67,19.209845
-107.825041,95,19.38194
-166.578912,93,19.557043
-137.220817,90,19.700739
-106.707474,97,19.843829
-113.113084,105,19.989581
-158.975098,99,20.126548
-193.311064,144,20.406238
-150.339245,179,20.731141
-177.027885,191,21.039418
-148.662863,141,21.248952
-118.966293,82,21.376372
-107.305867,83,21.495752
-85.600404,75,21.605317
-219.352151,221,22.000333
-168.107002,230,22.341949
-122.28516,88,22.465882
-98.984907,72,22.57799
-163.350336,295,23.035825
-101.43388,95,23.167961
-156.335544,373,23.744349
-169.918326,314,24.238783
-128.481863,79,24.359319
-170.417269,240,24.697438
-134.101287,265,25.090945
-174.004087,230,25.446166
-112.635827,276,25.839343
-122.649314,163,26.06868
-91.154506,318,26.51812
-72.307592,76,26.630846
-90.144919,107,26.781192
-161.161946,174,27.022661
-110.605138,211,27.315755
-165.656064,170,27.550331
-131.102094,92,27.678671
-109.021696,82,27.792587
-148.283017,117,27.954731
-119.127696,90,28.079238
-125.463408,90,28.207408
-180.389444,177,28.452877
-126.545696,85,28.571491
-93.253951,141,28.777058
-157.188828,188,29.042343
-150.25929,163,29.283563
-128.348408,185,29.660682
-247.387231,394,30.234169
-160.080715,155,30.462778
-183.709129,111,30.623922
-175.481827,247,30.973641
-277.443547,180,31.229679
-297.749234,250,31.683706
-167.8076,143,31.908379
-89.032125,92,32.094352
-223.681457,224,32.508301
-122.402168,226,32.868455
-81.39228,209,33.207174
-332.004754,828,34.500373
-159.399524,159,34.720776
-206.771945,171,34.955764
-181.57105,181,35.203975
-213.723035,251,35.549422
-196.831036,141,35.743227
-238.192057,176,35.983941
-157.07356,274,36.357839
-122.233919,228,36.669969
-94.810186,139,36.863624
-254.175439,354,37.348916
-154.996057,114,37.505217
-89.226444,125,37.676305
-260.647206,201,37.951853
-145.331132,101,38.090101
-184.44155,111,38.242843
-172.905109,114,38.401768
-173.985251,98,38.536313
-184.226624,118,38.697993
-142.906619,88,38.820667
-179.892811,143,39.017315
-148.313408,90,39.141047
-135.804844,134,39.325137
-163.639899,99,39.461257
-100.270232,110,39.612357
-341.651342,522,40.338218
-66.036656,179,40.583076
-134.086491,114,40.739724
-157.397416,92,40.869617
-162.620309,143,41.078702
-158.576607,113,41.234728
-198.240506,273,41.609172
-222.067765,187,41.865079
-160.107933,142,42.059739
-184.828855,306,42.480415
-307.976893,460,43.113409
-209.392913,284,43.503416
-220.030009,297,43.911313
-190.876129,155,44.123433
-206.764983,232,44.441623
-198.489628,223,44.748593
-215.792837,123,44.916874
-123.104164,249,45.261134
-232.409075,134,45.445334
-215.955381,97,45.578437
-226.561257,302,45.992083
-220.235256,242,46.323456
-192.77922,232,46.640852
-272.599995,212,46.931119
-216.426458,157,47.146835
-212.506303,134,47.332132
-231.979557,127,47.506829
-221.755593,108,47.654851
-109.362674,141,47.849512
-97.160725,142,48.044607
-150.331559,204,48.3237
-215.032294,140,48.518197
-229.929283,191,48.780333
-209.279779,335,49.239842
-204.283128,552,49.999657
-170.771756,249,50.341027
-228.179024,242,50.672122
-187.878355,163,50.895943
-176.251903,96,51.027662
-167.1615,196,51.297176
-102.713382,126,51.470464
-196.787482,232,51.792166
-142.241462,162,52.01483
-130.686725,167,52.242925
-121.088151,158,52.459179
-172.46476,118,52.620743
-207.129583,166,52.848873
-182.097333,241,53.177971
-227.209999,227,53.500981
-214.656925,517,54.213599
-201.673245,223,54.527509
-108.556264,166,54.756536
-162.657406,94,54.885889
-220.968397,215,55.181419
-170.237936,169,55.413314
-236.161226,242,55.744999
-138.184061,212,56.039528
-233.736558,535,56.776311
-160.020964,240,57.106625
-181.043675,216,57.403134
-158.286768,195,57.67087
-198.827992,176,57.912771
-166.860679,189,58.175902
-207.46186,333,58.635973
-153.829475,125,58.808379
-187.598556,208,59.094512
-173.393828,204,59.376474
-154.071084,236,59.700517
-168.205858,162,59.923071
-155.197974,289,60.321901
-151.880494,239,60.650117
-181.91848,203,60.929092
-187.261939,217,61.228222
-185.317131,214,61.522728
-149.569256,125,61.694402
-142.213416,236,62.017971
-195.592024,179,62.26629
-214.577307,191,62.52917
-135.625694,222,62.834703
-155.245169,187,63.09146
-173.601257,208,63.377401
-180.251067,210,63.666245
-141.910556,230,63.982129
-175.920083,222,64.29834
-178.959465,152,64.509487
-161.861285,212,64.801944
-167.192806,213,65.094358
-274.021724,595,65.911554
-196.551155,261,66.268749
-190.653958,178,66.515973
-147.884022,140,66.709652
-157.752846,255,67.060032
-216.46859,213,67.353271
-130.79209,105,67.49813
-210.256286,348,67.976746
-167.352263,124,68.146877
-178.573367,185,68.400831
-97.285778,230,68.728242
-151.19283,253,69.158376
-175.391749,218,69.530804
-176.211247,202,69.923575
-59.024427,157,70.211146
