episode,reward,length,global_step
0,-160.542236,124,124
1,-446.195028,135,259
2,-496.285794,108,367
3,-428.361664,96,463
4,-625.313979,177,640
5,-83.863807,195,835
6,-72.441409,114,949
7,-123.688053,195,1144
8,-276.457653,207,1351
9,-52.985117,349,1700
10,-187.706122,285,1985
11,-351.280782,847,2832
12,-84.782244,1000,3832
13,-56.446294,1000,4832
14,-96.175257,1000,5832
15,-67.829422,1000,6832
16,-104.265211,1000,7832
17,-57.998495,100,7932
18,-18.565594,1000,8932
19,11.916854,1000,9932
20,-25.251555,1000,10932
21,-49.928693,1000,11932
22,-29.45366,1000,12932
23,-111.294796,1000,13932
24,-24.566836,478,14410
25,2.068184,1000,15410
26,-56.379841,1000,16410
27,35.718434,115,16525
28,121.803062,740,17265
29,106.000452,698,17963
30,-28.214776,1000,18963
31,241.684629,146,19109
32,-287.631306,211,19320
33,-88.02607,94,19414
34,-50.049693,1000,20414
35,16.908488,266,20680
36,251.63451,520,21200
37,-50.936829,83,21283
38,294.242126,265,21548
39,280.412693,210,21758
40,227.090754,363,22121
41,-21.713616,137,22258
42,191.747691,465,22723
43,-145.449342,286,23009
44,178.000524,608,23617
45,239.807594,333,23950
46,245.285362,276,24226
47,187.797562,624,24850
48,204.584707,577,25427
49,179.091067,717,26144
50,163.96342,671,26815
51,23.449597,271,27086
52,-72.085809,585,27671
53,242.551614,412,28083
54,267.37495,327,28410
55,-26.538064,272,28682
56,220.086652,413,29095
57,254.355564,370,29465
58,50.76443,200,29665
59,-316.476877,393,30058
60,-13.896884,1000,31058
61,210.086141,459,31517
62,51.470565,183,31700
63,118.234248,969,32669
64,277.310943,231,32900
65,225.28858,436,33336
66,-8.829216,136,33472
67,263.704747,239,33711
68,69.49948,203,33914
69,-296.447187,506,34420
70,201.804548,271,34691
71,-130.124167,889,35580
72,124.238524,668,36248
73,60.309209,1000,37248
74,254.907018,241,37489
75,-21.799196,457,37946
76,105.580118,1000,38946
77,236.44636,716,39662
78,-38.297155,1000,40662
79,292.01312,231,40893
80,218.100498,375,41268
81,181.754702,425,41693
82,301.97048,247,41940
83,239.797832,214,42154
84,230.326528,298,42452
85,247.429822,169,42621
86,236.954963,252,42873
87,259.405968,187,43060
88,-25.712296,266,43326
89,260.657206,248,43574
90,274.665098,406,43980
91,19.168372,1000,44980
92,-65.625451,302,45282
93,217.912382,402,45684
94,30.489996,113,45797
95,201.900661,450,46247
96,261.295567,171,46418
97,45.20805,119,46537
98,215.085731,453,46990
99,-6.76135,1000,47990
100,158.312644,587,48577
101,-405.661149,374,48951
102,254.050954,180,49131
103,276.969839,247,49378
104,228.888912,181,49559
105,248.785363,197,49756
