#{"t_start": 1779988743.537009, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-61.364386,171,0.490718
-415.488414,84,1.046136
-499.194462,127,1.886088
-23.437147,159,2.945197
-161.274411,128,3.790836
-202.371998,142,4.735682
-229.90782,100,5.399087
-237.49199,185,6.625278
-175.987534,128,7.478193
-207.554258,218,8.939019
-99.133371,177,10.112398
-145.442719,186,11.343293
-131.728017,241,12.936063
-112.450394,197,14.233971
-160.779618,170,15.3562
-184.728106,150,16.348795
-120.516806,130,17.210157
-58.978214,202,18.548039
-273.776324,113,19.297005
-27.665184,142,20.238378
-98.438685,132,21.10995
-56.487243,120,21.907631
-38.55912,267,23.678909
-18.799648,136,24.5818
-208.901955,350,26.919913
-77.547188,213,28.323405
-6.336215,1000,34.983947
-64.948969,126,35.816968
-71.210365,123,36.633241
-7.802564,141,37.570544
-20.343771,131,38.439498
-128.301548,811,43.830082
-217.191354,227,45.33629
-35.629415,1000,51.964223
-315.364996,684,56.499953
225.729446,696,61.132203
217.195821,457,64.169863
-184.816044,258,65.885533
-161.121908,416,68.644841
219.034196,307,70.681197
224.035789,314,72.764345
127.17077,834,78.295576
223.983616,380,80.824337
41.132797,1000,87.508135
164.885478,616,91.643931
-47.983474,239,93.234486
137.108132,872,99.041275
-56.150951,570,102.807646
-421.272505,474,106.012935
-94.357164,217,107.456084
37.82651,1000,114.179623
267.354362,480,117.310746
-331.709725,742,122.305023
-173.657156,134,123.201309
143.489678,571,127.008577
200.298675,407,129.722873
200.333709,377,132.248481
-125.122326,477,135.425596
-165.740968,407,138.127838
230.679584,488,141.374153
-141.34643,310,143.433223
182.846568,590,147.361908
-74.84902,1000,154.009852
197.615842,342,156.286342
167.543662,555,159.983042
124.05029,733,164.867897
177.888049,879,170.875926
211.06472,382,173.426779
213.736846,581,177.29477
136.07828,727,182.134739
185.588931,496,185.440068
244.494533,566,189.21461
206.715833,342,191.49017
-48.356488,1000,198.194472
185.639469,231,199.718799
-15.322347,116,200.530139
270.766299,323,202.687228
-25.442478,263,204.436354
-12.179106,1000,211.040883
171.383791,351,213.369477
237.937214,434,216.259493
226.088791,736,221.153643
200.256284,452,224.174008
225.828086,273,225.987641
-238.91217,292,227.937457
231.33316,654,232.284838
-26.288801,188,233.537564
-16.112156,187,234.779517
249.223971,693,239.400583
62.641899,1000,246.084428
-230.728124,715,250.817886
245.726254,338,253.096664
15.698945,217,254.544611
242.056259,435,257.491118
225.291513,486,260.73043
215.316194,514,264.148892
218.118445,399,266.808881
107.595241,880,272.663058
-303.913099,506,276.062349
269.468276,542,279.668014
