episode,reward,length,global_step
0,-245.721547,196,196
1,-187.47354,139,335
2,-67.705961,123,458
3,-360.94826,154,612
4,-131.379688,141,753
5,217.176489,354,1107
6,-224.278435,170,1277
7,222.69695,419,1696
8,-148.244071,293,1989
9,-189.119623,271,2260
10,-159.854007,473,2733
11,-61.042704,478,3211
12,10.080074,1000,4211
13,-29.706891,1000,5211
14,-13.941602,1000,6211
15,-108.20521,517,6728
16,-111.746188,1000,7728
17,148.870659,610,8338
18,-179.612443,126,8464
19,-49.036824,1000,9464
20,-151.071496,231,9695
21,-298.774203,143,9838
22,-79.646485,250,10088
23,133.874206,682,10770
24,-238.361496,149,10919
25,-147.630298,244,11163
26,74.621498,670,11833
27,-176.603206,78,11911
28,-79.580963,1000,12911
29,1.653619,1000,13911
30,-86.442417,1000,14911
31,165.71256,815,15726
32,94.022273,857,16583
33,179.040911,892,17475
34,67.929505,864,18339
35,242.175447,591,18930
36,-147.056808,468,19398
37,-255.930091,934,20332
38,211.300546,595,20927
39,100.882516,1000,21927
40,187.503927,717,22644
41,181.051751,804,23448
42,-75.933554,1000,24448
43,41.420726,1000,25448
44,144.634948,996,26444
45,-8.390753,1000,27444
46,46.013554,1000,28444
47,-6.297726,1000,29444
48,133.224877,958,30402
49,223.657895,711,31113
50,16.180315,1000,32113
51,171.160723,858,32971
52,148.966506,883,33854
53,177.006186,956,34810
54,156.336541,813,35623
55,115.098463,990,36613
56,115.436802,931,37544
57,-31.614584,1000,38544
58,206.155164,658,39202
59,194.814409,777,39979
60,-24.921215,1000,40979
61,-67.443467,1000,41979
62,182.099408,685,42664
63,143.21588,827,43491
64,157.769547,935,44426
65,212.553162,641,45067
66,223.904803,574,45641
67,-299.242058,913,46554
68,238.159292,579,47133
69,218.196505,469,47602
70,139.991021,759,48361
71,-328.958591,662,49023
72,114.638733,737,49760
