#{"t_start": 1779914703.6941981, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-224.496327,74,0.012501
-388.556303,164,0.354969
-437.499244,83,0.584475
-409.616795,135,0.91895
-367.596331,145,1.274033
-99.352676,98,1.518874
-65.340549,124,1.851496
-275.378496,95,2.085888
-285.247738,112,2.358665
-322.309145,94,2.589293
-401.163044,239,3.181566
-192.567891,154,3.559738
-163.805105,184,4.007524
-295.451962,395,4.977946
-336.7544,675,6.663888
-117.658365,284,7.349108
-203.201881,289,8.047518
-156.569176,639,9.650799
-60.121971,434,10.716879
-46.442862,1000,13.201898
-98.861938,715,14.956487
-83.1796,826,16.985363
-102.28892,1000,19.476352
22.766067,501,20.705963
-81.961601,1000,23.197508
-64.101602,407,24.268784
169.991311,603,26.004677
-134.214603,765,28.178594
-48.469835,1000,30.938521
-65.813177,184,31.507081
-35.648157,1000,34.053495
-76.127627,1000,36.713036
-49.731236,1000,39.141671
-41.758263,1000,41.863225
-102.948658,1000,44.277023
-68.10198,1000,46.650841
-160.578462,1000,49.052224
-125.656482,1000,51.333315
-4.98379,1000,53.595653
-49.552658,71,53.758028
-22.033479,1000,56.243827
13.67521,1000,58.540463
-122.461849,1000,60.793332
-179.729452,773,62.534166
-110.422628,515,63.692402
-62.520723,1000,65.948494
-216.615012,931,68.044444
-123.142693,1000,70.298174
-52.183674,1000,72.546328
-73.746211,1000,74.793435
-125.891508,1000,77.046137
33.053943,1000,79.296818
-90.70716,1000,81.55072
-101.944396,1000,83.81044
-113.716585,1000,86.06833
-108.649149,1000,88.322408
-65.472211,1000,90.580538
-27.592799,1000,92.926026
-47.402918,1000,95.179769
-36.63507,1000,97.437496
-16.015167,1000,99.696311
6.865405,1000,101.954105
-53.940807,1000,104.207671
-22.303003,1000,106.45976
18.92564,1000,108.712498
-54.353812,1000,110.971315
-46.195988,1000,113.224491
114.218141,908,115.276589
-58.83981,1000,117.533564
