timestep,ep_reward,ep_length
28,-1.8143333,7
48,-2.915,5
96,1.4173329,12
100,37.301666,25
128,-4.851,7
156,14.253,39
156,6.665,15
164,2.883,9
224,1.6949999,15
228,0.20599985,18
272,0.7336663,11
316,29.922998,79
320,5.324667,24
332,2.4450002,15
348,-1.0143331,7
424,9.243002,19
428,12.692667,68
468,11.132668,38
488,5.155333,16
492,-0.93799996,16
524,2.2746668,14
544,1.5883336,5
556,6.5490007,17
560,19.862337,57
632,6.996334,19
676,-1.0036666,29
700,2.3923333,17
740,19.790668,62
760,-0.19499993,5
792,5.1910005,23
812,-3.685,5
820,2.7883337,15
820,15.699665,69
840,-2.835,5
848,-1.3636665,9
888,1.044,12
892,-0.98399967,18
936,4.784,22
940,0.9976666,13
964,22.393997,72
992,4.6283336,25
992,0.8456666,7
1000,-1.2616665,15
1024,3.5359995,8
1040,29.029999,10
1060,1.385,5
1112,6.670667,22
1128,9.939334,48
1176,4.2563334,29
1204,4.1476674,23
1312,3.1023326,27
1332,12.993665,51
1340,-1.6010001,7
1352,13.8480015,44
1356,0.6786666,6
1360,19.600676,92
1404,5.2143335,13
1416,4.109666,19
1436,5.226667,20
1460,4.0849996,25
1492,6.8596673,19
1520,-2.1943333,7
1528,12.137667,23
1572,-2.189,13
1592,-1.1383333,5
1624,7.1513324,24
1628,19.88867,56
1648,-1.6983333,5
1660,1.6056669,17
1660,18.906668,50
1668,-0.53299975,11
1676,3.5023327,7
1688,-2.3683333,5
1712,-0.5823338,13
1720,-0.986333,11
1756,0.48633337,9
1792,5.3710003,33
1812,-0.10166669,5
1832,18.746666,30
1840,-0.09100008,7
1848,5.617667,23
1868,-0.6276666,7
1876,0.9623333,7
1884,15.376338,49
1904,-1.291,7
1936,6.8053346,26
1940,0.42800045,14
1948,-0.76999986,20
1960,5.947999,14
2088,13.19267,38
2100,10.020001,40
2104,15.038669,36
2108,-1.3983334,5
2136,0.34633327,9
2152,-0.8396666,11
2188,28.269999,60
2212,7.5463333,19
2236,7.3336663,21
2248,4.1763334,9
2268,11.297002,41
2268,30.149334,8
2332,3.255333,16
2340,9.079333,18
2476,10.742003,36
2488,11.120001,60
2528,-2.2066667,10
2552,17.004333,53
2580,2.005333,26
2608,0.63666666,20
2620,-2.3866668,10
2628,-4.4683332,5
2716,19.760334,41
2736,-0.44833326,5
2768,-0.89500177,145
2768,19.175667,37
2796,5.418334,15
2816,-2.0616667,5
2816,10.312336,47
2820,4.7376666,13
2836,-3.3449998,5
2860,2.3843338,23
2900,1.8253336,16
2900,3.7433333,10
2920,-0.15499997,5
2940,-0.33500004,5
2968,15.366002,38
2972,0.6660001,18
2972,1.0626667,8
3000,11.565004,45
3016,1.0670002,11
3040,2.3523333,17
3044,4.4056664,7
3048,4.496666,20
3104,4.1886673,26
3108,0.88899994,17
3116,2.8089995,17
3140,-0.70866656,24
3156,-2.1433332,10
3196,2.9280002,14
3216,10.782335,27
3220,14.119667,29
3236,-0.7883334,5
3248,0.018999815,7
3248,6.291,13
3264,6.239001,27
3280,2.666,8
3280,5.7159996,8
3296,4.3726664,8
3316,4.7399993,20
3324,-3.011,7
3324,3.0603337,11
3336,-1.065,5
3344,2.8920002,16
3360,0.36966658,9
3388,3.6809998,13
3412,-0.5146667,6
3416,4.392666,18
3416,3.9046667,14
3440,0.46566677,7
3472,2.6746664,14
3508,1.7429998,9
3540,5.2070003,31
3568,5.195,15
3584,2.067,11
3596,7.116334,39
3608,-1.7046666,6
3616,-1.125,5
3620,9.461,13
3644,-0.30366683,9
3652,4.199667,9
3700,5.3433332,20
3708,-1.7079998,16
3728,4.6730003,19
3796,2.2279994,24
3804,7.8363357,19
3816,-2.795,5
3824,0.07833314,5
3832,43.132328,127
3844,-3.821,7
3868,0.71300006,9
3912,-1.3596667,11
3928,4.295333,26
3976,10.021002,33
3996,-4.855,5
4116,13.437003,51
4116,33.004005,102
4136,1.2116668,5
4140,-0.23466682,6
4144,18.581333,54
4160,9.496999,41
4180,-0.5503332,9
4208,7.3390007,7
4228,-0.28166676,5
4232,3.0679994,24
4232,-3.9023333,23
4232,3.6660004,18
4276,9.713667,11
4284,0.581,13
4284,0.7843332,13
4344,3.4050002,15
4352,-4.1843333,17
4376,8.05567,37
4380,1.0823336,7
4396,4.8900003,30
4416,-3.5983334,5
4452,6.4696674,19
4480,36.024666,34
4488,2.5596666,9
4492,23.552664,28
4512,0.6250001,5
4512,11.591334,24
4516,1.609,7
4584,4.571999,26
4588,6.2196674,19
4664,-4.4733334,20
4680,14.283999,42
4692,25.292332,7
4744,4.0976667,13
4752,15.340337,41
4772,-2.5276668,7
4776,-0.70799994,6
4792,0.57500005,5
4824,-9.5476675,77
4836,0.86300015,39
4840,0.97400033,12
4860,-4.183667,9
4892,5.9476666,13
4900,2.4169993,31
4920,7.6116676,15
4924,5.528667,6
4960,6.5370007,31
4980,-4.785,5
5000,-3.0616665,5
5012,7.9606676,22
5020,-4.991667,5
5032,-3.3883333,5
5044,10.020334,31
5092,1.8659998,18
5100,-0.29100025,17
5108,5.295334,16
5128,20.732994,59
5148,1.8740001,12
5160,6.1756682,17
5176,-1.5443333,7
5180,-2.5016665,5
5204,5.8913336,24
5216,4.890667,22
5216,2.6529996,9
5240,4.539666,9
5264,-2.4593334,22
5268,2.5210004,13
5304,-3.9866667,10
5308,0.024333239,23
5324,13.207002,21
5328,-2.6016667,5
5332,-0.5946667,16
5348,-1.3783333,5
5360,-1.681,7
5372,-2.8343334,17
5380,-0.36399996,8
5384,32.571667,15
5388,5.165667,7
5404,-3.695,5
5416,0.8889997,7
5424,0.82833326,5
5428,4.641334,14
5436,1.3716666,5
5444,-0.895,5
5460,4.0193334,8
5468,-0.66400003,8
5528,6.763668,21
5552,4.767666,23
5556,1.2256665,7
5588,-2.9873333,8
5616,2.609,7
5628,5.553,19
5656,-4.864333,7
5676,-1.7283334,5
5708,20.269999,60
5780,35.2,100
5792,13.131337,44
5800,-3.8083334,5
5820,-1.1809999,7
5848,-0.6676668,7
5888,15.830999,53
5900,1.3876667,13
5908,-2.995,5
5940,-2.4233334,10
5944,-3.397,9
5968,3.465333,6
5968,-2.6443334,7
5976,14.781335,44
5996,-0.36099994,7
6012,38.91199,76
6016,-0.26833344,5
6028,-2.5783334,15
6040,5.9086666,16
6060,-0.6650002,5
6076,6.4486694,16
6080,4.615333,16
6100,0.64166665,5
6112,5.7043333,13
6128,4.944333,13
