timestep,ep_reward,ep_length
28,3.2923331,7
40,0.6433333,10
60,6.2750006,15
80,-3.8990002,13
92,2.1410005,23
116,1.5063335,9
120,3.0483327,15
124,2.6626666,8
132,12.42767,23
136,-0.09833342,5
148,1.0586667,6
152,0.18499982,5
156,24.945,5
176,0.90800035,14
200,-0.8846667,6
204,0.7176666,13
208,-1.0356667,13
236,0.9173331,22
252,6.0609994,13
272,0.87500024,5
312,8.542,26
332,-2.735,5
360,0.24899983,7
364,7.2873344,32
416,7.712,36
440,7.3263345,19
468,27.191,13
488,-0.3083334,5
492,4.327666,13
512,-0.4283334,5
540,1.8910002,13
540,27.192333,7
596,34.28266,98
612,22.230997,63
640,2.2269998,11
648,11.999001,27
668,2.1913338,14
668,3.2089999,7
704,-2.787,9
708,3.1266668,10
744,0.71333325,10
780,4.033,9
804,-0.6646664,6
816,20.617334,42
892,2.1673334,22
900,5.5836678,21
920,-0.20833337,5
920,-4.1276665,7
952,41.407658,103
1032,12.626665,20
1068,7.0556674,37
1072,13.226001,38
1084,1.6110001,13
1116,16.804,102
1236,34.756668,30
1340,23.35133,64
1356,16.453667,71
1368,4.4776673,33
1376,0.54166675,5
1396,3.0413332,14
1400,32.560997,83
1420,-0.013000011,11
1428,-1.0183334,15
1444,-1.7913334,6
1448,2.7883334,5
1468,-0.95799994,6
1468,-2.9973333,18
1500,4.227667,13
1512,4.130334,11
1520,9.73667,30
1588,6.0473337,22
1592,9.376667,20
1616,0.9890001,7
1652,3.7776673,33
1700,3.492333,27
1736,2.533,9
1740,21.646,68
1744,10.507335,32
1760,11.829001,27
1760,-2.2516668,5
1780,-1.2850001,5
1800,0.8533335,10
1804,3.3050003,15
1812,-0.14733338,8
1824,-1.1316667,5
1828,-1.8043333,7
1864,-3.5656667,13
1864,-0.6903333,9
1880,0.61466694,14
1884,-3.7916665,5
1924,-0.86966634,11
1960,8.711333,24
2008,7.9970016,21
2048,-1.6966667,10
2052,14.9140005,42
2088,13.137336,32
2108,2.2616668,15
2120,0.3759998,8
2140,-1.5416667,5
2148,7.9146686,24
2148,29.29433,103
2152,-4.2596664,11
2172,0.8260002,8
2176,4.8489995,7
2204,0.2926668,8
2212,-0.31366646,9
2256,2.674333,13
2276,9.237002,31
2276,4.853999,32
2292,-3.6636667,9
2312,4.3963337,9
2364,7.0239997,22
2396,8.675335,46
2404,3.2533338,10
2448,-3.7996666,11
2480,25.562332,47
2496,-1.2659999,12
2512,12.303001,29
2512,3.4326668,8
2524,4.005667,7
2576,24.985329,66
2596,-2.2983334,5
2640,9.316334,29
2680,-2.49,10
2704,-0.9046668,6
2728,10.281001,33
2756,23.983667,61
2772,-1.1029999,11
2884,14.904327,93
2900,17.055334,36
2912,-1.301,7
2916,31.814339,53
2920,-0.44166663,5
2924,5.3960023,38
2960,-0.78633344,11
2964,-2.8523333,13
3000,0.5700002,20
3012,10.260668,22
3056,4.921333,14
3068,11.359,27
3080,2.4653335,6
3108,-3.4643335,7
3144,14.283002,19
3156,3.6873336,12
3164,9.619333,38
3192,-0.30366683,9
3208,26.306995,61
3224,1.0083334,15
3276,1.2543334,13
3288,22.878668,36
3304,11.337999,24
3356,1.0176665,13
3360,26.030666,42
3380,9.572001,26
3388,-0.6876668,7
3444,8.114667,14
3464,3.4169998,21
3468,-0.94799995,6
3488,3.198667,6
3492,20.250338,51
3512,4.8270006,11
3548,6.808334,15
3564,0.55099976,13
3572,0.7566664,20
3576,-1.7843333,7
3592,2.045,5
3596,-0.16166663,5
3612,20.231337,64
3616,-3.7083335,5
3640,4.385667,7
3648,2.7179995,14
3656,7.1243343,23
3688,4.2573338,12
3692,3.2429998,9
3716,3.119001,17
3740,7.570335,31
3748,0.98600006,8
3784,2.9536667,11
3784,-3.1303334,9
3792,10.555,25
3812,-4.675,5
3824,4.1746683,34
3852,4.542333,7
3872,4.7450004,5
3904,8.420001,30
3916,5.091003,33
3916,2.297,11
3936,-1.0116665,5
3960,-1.7263331,11
3996,2.6143332,23
4008,6.3293347,18
4028,15.078001,54
4036,0.106333375,19
4044,1.1596668,9
4052,0.4286667,6
4060,-1.0346668,16
4088,-1.2509999,7
4148,2.738333,15
4156,6.7119985,26
4192,12.866337,39
4260,0.8020003,26
4300,6.792335,27
4308,1.8606666,12
4352,17.013666,51
4372,-1.865,5
4408,5.195,25
4440,5.1289997,17
4452,2.587,11
4480,1.8756664,7
4492,24.923996,112
4512,-2.3183331,5
4580,12.255003,35
4628,9.203,29
4660,3.4200006,20
4676,-0.16933346,12
4688,4.6556664,7
4700,-2.2879999,6
4708,-1.1516666,5
4720,-0.11833334,5
4756,-2.237,9
4832,6.739666,19
4876,1.427,11
4900,9.363331,150
4928,2.2216666,55
4936,6.086333,9
4940,42.538326,115
4964,-2.3236666,9
4988,11.402668,28
4996,0.87800014,14
4996,-0.23166667,15
5016,5.681,13
5024,0.3123331,7
5032,-1.993,11
5048,26.638666,6
5076,-3.2643332,7
5080,5.7719994,16
5084,7.050668,22
5096,-1.9516668,5
5112,-0.42733312,8
5132,2.4149997,5
5152,-0.5253333,14
5152,5.853334,30
5200,3.4539995,12
5200,-0.2709999,17
5228,-0.421,7
5276,1.8463333,19
5328,18.413666,61
5336,2.2683334,15
5348,5.893333,30
5356,25.418333,5
5380,13.565667,57
5388,-2.543333,10
5408,5.396666,20
5420,3.4486666,16
5452,1.6086664,16
5456,-3.8569999,9
5484,-1.8010001,7
5504,2.111,13
5516,7.4946675,34
5564,4.2506676,12
5584,-2.5316665,5
5584,0.8533337,20
5592,2.4390001,27
5620,0.19566655,7
5656,0.97933304,18
5672,3.6376672,13
5676,0.5743331,23
5692,3.6596665,9
5696,1.9086666,6
5704,39.904675,74
5732,-0.30700004,9
5740,3.0673332,12
5744,3.532334,17
5756,-1.8446667,6
5780,7.689667,19
5828,2.5473332,22
5848,-1.0550001,5
5852,5.3146667,24
5888,-0.69033337,9
5892,0.0836668,11
5908,-0.07833326,5
5932,16.842335,47
5964,0.7013335,14
5992,0.81233335,7
6008,26.622332,57
6012,-3.9083333,5
6036,-1.451,7
6064,3.387667,13
6064,-2.3409998,7
6104,4.3976665,43
6136,-2.264,18
6152,34.454998,65
6156,8.267668,23
6188,-4.793667,9
6220,8.632999,29
6248,6.9659996,28
6256,4.4329996,9
6272,12.649668,29
6272,21.057001,21
6284,3.8423328,7
6312,-1.1443332,7
6312,-2.7066667,10
6356,10.693666,21
6360,12.759334,28
6388,1.6456667,7
6420,1.5956669,27
6436,1.4206667,12
6440,10.277001,21
6460,17.24567,37
6560,-5.048333,25
6580,2.3266668,40
6584,12.572338,37
6616,12.241333,14
6636,3.1143336,13
6644,-5.247667,7
6664,6.4303327,21
6664,-1.5376667,7
6668,0.0020000935,6
6688,-1.1316667,5
6740,1.8996665,19
6756,5.361,23
6776,6.624,22
6796,0.11166656,5
6804,-1.4726665,12
6804,2.7520006,16
6820,27.821665,95
6872,3.8223333,17
6896,2.3683336,25
6900,3.2523332,7
6916,12.059337,28
6932,0.85633326,9
6960,-1.4563333,11
7020,5.760668,22
7032,4.3060007,18
7032,23.181004,53
7056,0.6563333,9
